fee_id,account_id,period,aum,fee_rate,calculated_fee,billed_fee,period_end_date,invoice_date
500108,ACC00108,2025-09,86356090.46,0.006,43178.05,43197.34,2025-09-30,2025-10-02
500109,ACC00109,2025-09,71697872.29,0.0075,44811.17,44832.76,2025-09-30,2025-10-11
500110,ACC00110,2025-09,197326081.48,0.0045,73997.28,74033.24,2025-09-30,2025-10-08
500111,ACC00111,2025-09,167882019.86,0.006,83941.01,83998.87,2025-09-30,2025-10-03
500112,ACC00112,2025-09,241126203.5,0.0075,150703.88,150821.84,2025-09-30,2025-10-03
500113,ACC00113,2025-09,121247601.31,0.0075,75779.75,75710.31,2025-09-30,2025-10-03
500114,ACC00114,2025-09,49777713.05,0.0075,31111.07,31109.8,2025-09-30,2025-10-13
500115,ACC00115,2025-09,169838089.09,0.0045,63689.28,63715.77,2025-09-30,2025-10-20
500116,ACC00116,2025-09,65815136.12,0.006,32907.57,32877.59,2025-09-30,2025-10-05
500117,ACC00117,2025-09,93031629.71,0.006,46515.81,46543.95,2025-09-30,2025-10-04
500118,ACC00118,2025-09,216005050.96,0.0035,63001.47,62945.4,2025-09-30,2025-10-07
500119,ACC00119,2025-09,93473272.18,0.0075,58420.8,58398.9,2025-09-30,2025-10-07
500120,ACC00120,2025-09,166625386.99,0.006,83312.69,83301.89,2025-09-30,2025-10-06
500121,ACC00121,2025-09,52145517.39,0.006,26072.76,26068.36,2025-09-30,2025-10-07
500122,ACC00122,2025-09,87809524.17,0.0075,54880.95,54886.36,2025-09-30,2025-10-05
500123,ACC00123,2025-09,73690087.45,0.0035,21492.94,21508.53,2025-09-30,2025-10-06
500124,ACC00124,2025-09,138256598.04,0.0035,40324.84,40359.13,2025-09-30,2025-10-18
500125,ACC00125,2025-09,201810163.07,0.0075,126131.35,126245.43,2025-09-30,2025-10-07
500126,ACC00126,2025-09,44902060.89,0.0045,16838.27,16841.54,2025-09-30,2025-10-07
500127,ACC00127,2025-09,61819072.12,0.006,30909.54,30917.74,2025-09-30,2025-10-05
500128,ACC00128,2025-09,65212079.65,0.006,32606.04,32589.41,2025-09-30,2025-10-06
500129,ACC00129,2025-09,238716088.44,0.0035,69625.53,69664.95,2025-09-30,2025-10-06
500130,ACC00130,2025-09,136685665.68,0.0035,39866.65,39896.58,2025-09-30,2025-10-04
500131,ACC00131,2025-09,246528026.17,0.006,123264.01,123307.42,2025-09-30,2025-10-08
500132,ACC00132,2025-09,88983077.92,0.0045,33368.65,33381.58,2025-09-30,2025-10-08
500133,ACC00133,2025-09,246500662.22,0.0045,92437.75,92441.39,2025-09-30,2025-10-05
500134,ACC00134,2025-09,13821500.87,0.0075,8638.44,8643.1,2025-09-30,2025-10-05
500135,ACC00135,2025-09,154134638.96,0.0045,57800.49,57773.69,2025-09-30,2025-10-06
500136,ACC00136,2025-09,188693737.09,0.006,94346.87,94345.72,2025-09-30,2025-10-08
500137,ACC00137,2025-09,146319873.2,0.006,73159.94,73149.98,2025-09-30,2025-10-03
500138,ACC00138,2025-09,82747734.51,0.006,41373.87,41356.32,2025-09-30,2025-10-06
500139,ACC00139,2025-09,119136257.9,0.0075,74460.16,74463.78,2025-09-30,2025-10-03
500140,ACC00140,2025-09,52678762.33,0.006,26339.38,26325.75,2025-09-30,2025-10-16
500141,ACC00141,2025-09,189993819.1,0.006,94996.91,94959.71,2025-09-30,2025-10-04
500142,ACC00142,2025-09,13352228.43,0.0045,5007.09,5685.81,2025-09-30,2025-10-02
500143,ACC00143,2025-09,241876441.96,0.0075,151172.78,151101.43,2025-09-30,2025-10-08
500144,ACC00144,2025-09,229063966.55,0.006,114531.98,114626.33,2025-09-30,2025-10-06
500145,ACC00145,2025-09,122924195.37,0.006,61462.1,61494.9,2025-09-30,2025-10-06
500146,ACC00146,2025-09,24972573.77,0.0035,7283.67,7288.59,2025-09-30,2025-10-03
500147,ACC00147,2025-09,90104874.94,0.0075,56315.55,56357.62,2025-09-30,2025-10-07
500148,ACC00148,2025-09,187441336.67,0.0035,54670.39,54617.35,2025-09-30,2025-10-03
500149,ACC00149,2025-09,18690574.34,0.0045,7008.97,7003.08,2025-09-30,2025-10-05
500150,ACC00150,2025-09,241831613.07,0.0075,151144.76,151107.43,2025-09-30,2025-10-02
500151,ACC00151,2025-09,145997989.94,0.0045,54749.25,54783.97,2025-09-30,2025-10-13
500152,ACC00152,2025-09,79786140.52,0.0035,23270.96,23289.3,2025-09-30,2025-10-07
500153,ACC00153,2025-09,154248309.98,0.0075,96405.19,96325.77,2025-09-30,2025-10-03
500154,ACC00154,2025-09,72124270.14,0.0075,45077.67,45108.49,2025-09-30,2025-10-07
500155,ACC00155,2025-09,14797372.24,0.0035,4315.9,4312.08,2025-09-30,2025-10-04
500156,ACC00156,2025-09,15978933.65,0.0035,4660.52,4658.02,2025-09-30,2025-10-06
500157,ACC00157,2025-09,47322987.25,0.0075,29576.87,29574.67,2025-09-30,2025-10-02
500158,ACC00158,2025-09,234466964.18,0.006,117233.48,117300.47,2025-09-30,2025-10-08
500159,ACC00159,2025-09,75073760.77,0.0035,21896.51,21880.0,2025-09-30,2025-10-08
500160,ACC00160,2025-09,165733519.17,0.0075,103583.45,103600.77,2025-09-30,2025-10-08
500161,ACC00161,2025-09,216544019.0,0.006,108272.01,108333.63,2025-09-30,2025-10-08
500162,ACC00162,2025-09,247376929.28,0.0045,92766.35,92702.13,2025-09-30,2025-10-04
500163,ACC00163,2025-09,167906440.53,0.0035,48972.71,48924.18,2025-09-30,2025-10-04
500164,ACC00164,2025-09,58085779.18,0.0045,21782.17,21801.75,2025-09-30,2025-10-04
500165,ACC00165,2025-09,184847157.89,0.0035,53913.75,53918.63,2025-09-30,2025-10-06
500166,ACC00166,2025-09,78836283.94,0.0035,22993.92,23015.78,2025-09-30,2025-10-07
500167,ACC00167,2025-09,107849399.89,0.006,53924.7,53969.85,2025-09-30,2025-10-07
500168,ACC00168,2025-09,50766944.9,0.0035,14807.03,14793.04,2025-09-30,2025-10-02
500169,ACC00169,2025-09,2725596.12,0.006,1362.8,1362.47,2025-09-30,2025-10-02
500170,ACC00170,2025-09,248844552.67,0.0045,93316.71,93275.11,2025-09-30,2025-10-04
500171,ACC00171,2025-09,57759105.36,0.0045,21659.66,21648.91,2025-09-30,2025-10-03
500172,ACC00172,2025-09,47821661.14,0.0075,29888.54,29892.37,2025-09-30,2025-10-04
500173,ACC00173,2025-09,227624893.46,0.0035,66390.59,66442.06,2025-09-30,2025-10-08
500174,ACC00174,2025-09,68803114.84,0.0075,43001.95,43031.69,2025-09-30,2025-10-05
500175,ACC00175,2025-09,100134774.22,0.0035,29205.98,29199.81,2025-09-30,2025-10-02
500176,ACC00176,2025-09,201573804.19,0.0035,58792.36,58849.58,2025-09-30,2025-10-02
500177,ACC00177,2025-09,101979203.82,0.0075,63737.0,63764.21,2025-09-30,2025-10-02
500178,ACC00178,2025-09,13041833.82,0.0035,3803.87,3807.43,2025-09-30,2025-10-07
500179,ACC00179,2025-09,25231069.28,0.006,12615.53,12616.76,2025-09-30,2025-10-04
500180,ACC00180,2025-09,70607557.7,0.0035,20593.87,20601.54,2025-09-30,2025-10-06
500181,ACC00181,2025-09,31734441.56,0.0035,9255.88,9263.37,2025-09-30,2025-10-02
500182,ACC00182,2025-09,220280199.88,0.0045,82605.07,82653.91,2025-09-30,2025-10-08
500183,ACC00183,2025-09,3001732.45,0.006,1500.87,1500.23,2025-09-30,2025-10-04
500184,ACC00184,2025-09,147154259.67,0.0075,91971.41,92050.71,2025-09-30,2025-10-02
500185,ACC00185,2025-09,155128087.29,0.0075,96955.05,96860.7,2025-09-30,2025-10-03
500186,ACC00186,2025-09,13751159.78,0.0075,8594.47,8587.79,2025-09-30,2025-10-04
500187,ACC00187,2025-09,245128759.29,0.0045,91923.28,91935.01,2025-09-30,2025-10-06
500188,ACC00188,2025-09,190168990.65,0.0045,71313.37,71344.06,2025-09-30,2025-10-02
500189,ACC00189,2025-09,127023645.71,0.006,63511.82,63500.25,2025-09-30,2025-10-04
500190,ACC00190,2025-09,140900749.62,0.0035,41096.05,41080.44,2025-09-30,2025-10-06
500191,ACC00191,2025-09,226861421.56,0.0035,66167.91,66172.02,2025-09-30,2025-10-15
500192,ACC00192,2025-09,19449433.0,0.006,9724.72,9730.25,2025-09-30,2025-10-02
500193,ACC00193,2025-09,206283911.11,0.0045,77356.47,,2025-09-30,2025-10-02
500194,ACC00194,2025-09,49617019.73,0.0035,14471.63,14467.59,2025-09-30,2025-10-05
500195,ACC00195,2025-09,191891715.06,0.0045,71959.39,71897.44,2025-09-30,2025-10-04
500196,ACC00196,2025-09,42072001.66,0.0045,15777.0,15791.98,2025-09-30,2025-10-04
500197,ACC00197,2025-09,219835078.2,0.0035,64118.56,64086.18,2025-09-30,2025-10-02
500198,ACC00198,2025-09,159091686.42,0.0075,99432.3,99335.55,2025-09-30,2025-10-07
500199,ACC00199,2025-09,72995494.82,0.0035,21290.35,21291.26,2025-09-30,2025-10-08
500200,ACC00200,2025-09,49040607.97,0.0045,18390.23,18379.99,2025-09-30,2025-10-13
500201,ACC00201,2025-09,90303865.0,0.0045,33863.95,33885.33,2025-09-30,2025-10-07
500202,ACC00202,2025-09,196792142.36,0.0045,73797.05,73861.56,2025-09-30,2025-10-08
500203,ACC00203,2025-09,227184442.48,0.0045,85194.17,85171.65,2025-09-30,2025-10-03
500204,ACC00204,2025-09,33230854.26,0.006,16615.43,16601.55,2025-09-30,2025-10-07
500205,ACC00205,2025-09,182395199.15,0.0075,113997.0,114021.36,2025-09-30,2025-10-19
500206,ACC00206,2025-09,144479654.98,0.0075,90299.78,90274.97,2025-09-30,2025-10-03
500207,ACC00207,2025-09,133586985.81,0.006,66793.49,66819.18,2025-09-30,2025-10-07
500208,ACC00208,2025-09,22112678.62,0.0045,8292.25,8286.81,2025-09-30,2025-10-04
500209,ACC00209,2025-09,105585913.77,0.0045,39594.72,39583.28,2025-09-30,2025-10-05
500210,ACC00210,2025-09,47073022.4,0.006,23536.51,23552.21,2025-09-30,2025-10-05
500211,ACC00211,2025-09,84636483.77,0.0035,24685.64,24686.68,2025-09-30,2025-10-04
500212,ACC00212,2025-09,137084666.29,0.006,68542.33,68548.64,2025-09-30,2025-10-21
500213,ACC00213,2025-09,60448187.63,0.0075,37780.12,37766.66,2025-09-30,2025-10-06
500214,ACC00214,2025-09,126436772.58,0.0075,79022.98,78952.57,2025-09-30,2025-10-06
500215,ACC00215,2025-09,135438432.47,0.0075,84649.02,84605.64,2025-09-30,2025-10-11
500216,ACC00216,2025-09,194272693.28,0.0075,121420.43,,2025-09-30,2025-10-07
500217,ACC00217,2025-09,47411341.54,0.0075,29632.09,29649.58,2025-09-30,2025-10-05
500218,ACC00218,2025-09,231226487.89,0.006,115613.24,115548.32,2025-09-30,2025-10-19
500219,ACC00219,2025-09,234923970.03,0.0075,146827.48,146839.8,2025-09-30,2025-10-08
500220,ACC00220,2025-09,70955906.33,0.0045,26608.46,26602.43,2025-09-30,2025-10-04
500221,ACC00221,2025-09,51346548.02,0.0035,14976.08,14964.52,2025-09-30,2025-10-06
500222,ACC00222,2025-09,18987786.64,0.0045,7120.42,7126.03,2025-09-30,2025-10-07
500223,ACC00223,2025-09,101715685.17,0.0035,29667.07,29639.44,2025-09-30,2025-10-04
500224,ACC00224,2025-09,45483156.72,0.006,22741.58,22735.74,2025-09-30,2025-10-03
500225,ACC00225,2025-09,160697723.93,0.0035,46870.17,46880.24,2025-09-30,2025-10-07
500226,ACC00226,2025-09,196210750.42,0.0045,73579.03,73620.6,2025-09-30,2025-10-07
500227,ACC00227,2025-09,21098104.02,0.0075,13186.32,13184.0,2025-09-30,2025-10-03
500228,ACC00228,2025-09,215375834.36,0.006,107687.92,107612.92,2025-09-30,2025-10-05
500229,ACC00229,2025-09,207187577.48,0.006,103593.79,103564.08,2025-09-30,2025-10-07
500230,ACC00230,2025-09,174938407.64,0.0035,51023.7,51005.94,2025-09-30,2025-10-04
500231,ACC00231,2025-09,83470454.61,0.006,41735.23,41752.07,2025-09-30,2025-10-02
500232,ACC00232,2025-09,164868888.73,0.0045,61825.83,61785.69,2025-09-30,2025-10-07
500233,ACC00233,2025-09,57054706.98,0.0045,21395.52,21406.53,2025-09-30,2025-10-03
500234,ACC00234,2025-09,204093830.53,0.0045,76535.19,76532.52,2025-09-30,2025-10-06
500235,ACC00235,2025-09,52410059.33,0.006,26205.03,26224.83,2025-09-30,2025-10-08
500236,ACC00236,2025-09,102843902.83,0.006,51421.95,51402.69,2025-09-30,2025-10-05
500237,ACC00237,2025-09,130814998.16,0.006,65407.5,65395.99,2025-09-30,2025-10-03
500238,ACC00238,2025-09,187842704.3,0.0035,54787.46,54782.27,2025-09-30,2025-10-04
500239,ACC00239,2025-09,44723097.32,0.0075,27951.94,27934.71,2025-09-30,2025-10-05
500240,ACC00240,2025-09,17331486.63,0.0075,10832.18,10823.41,2025-09-30,2025-10-06
500241,ACC00241,2025-09,123050912.72,0.0045,46144.09,46105.91,2025-09-30,2025-10-07
500242,ACC00242,2025-09,31366228.33,0.0075,19603.89,19590.19,2025-09-30,2025-10-02
500243,ACC00243,2025-09,206821759.35,0.0045,77558.16,77597.24,2025-09-30,2025-10-03
500244,ACC00244,2025-09,145261222.2,0.0075,90788.26,90820.6,2025-09-30,2025-10-03
500245,ACC00245,2025-09,35855103.18,0.0035,10457.74,10451.23,2025-09-30,2025-10-05
500246,ACC00246,2025-09,161909446.87,0.0075,101193.4,110303.35,2025-09-30,2025-10-05
500247,ACC00247,2025-09,188787149.93,0.0075,117991.97,117903.51,2025-09-30,2025-10-07
500248,ACC00248,2025-09,62705522.81,0.0035,18289.11,18294.44,2025-09-30,2025-10-03
500249,ACC00249,2025-09,55987582.55,0.0075,34992.24,35015.47,2025-09-30,2025-10-06
500250,ACC00250,2025-09,43863308.95,0.0035,12793.47,12799.68,2025-09-30,2025-10-06
500251,ACC00251,2025-09,210756688.57,0.0075,131722.93,131815.07,2025-09-30,2025-10-16
500252,ACC00252,2025-09,96788451.7,0.0075,60492.78,60550.84,2025-09-30,2025-10-02
500253,ACC00253,2025-09,222211440.7,0.006,111105.72,111011.54,2025-09-30,2025-10-13
500254,ACC00254,2025-09,229672059.14,0.0045,86127.02,86095.14,2025-09-30,2025-10-04
500255,ACC00255,2025-09,129669736.89,0.0035,37820.34,37785.19,2025-09-30,2025-10-08
500256,ACC00256,2025-09,82620154.26,0.0075,51637.6,51593.94,2025-09-30,2025-10-06
500257,ACC00257,2025-09,132857900.95,0.0045,49821.71,49858.2,2025-09-30,2025-10-02
500258,ACC00258,2025-09,137101943.61,0.0075,85688.71,85646.65,2025-09-30,2025-10-04
500259,ACC00259,2025-09,2867264.35,0.0035,836.29,836.78,2025-09-30,2025-10-06
500260,ACC00260,2025-09,170986215.87,0.0045,64119.83,64121.66,2025-09-30,2025-10-20
500261,ACC00261,2025-09,55550521.61,0.0075,34719.08,34725.34,2025-09-30,2025-10-03
500262,ACC00262,2025-09,165369518.56,0.0075,103355.95,103258.84,2025-09-30,2025-10-08
500263,ACC00263,2025-09,154657033.48,0.0035,45108.3,45094.45,2025-09-30,2025-10-05
500264,ACC00264,2025-09,91062917.23,0.006,45531.46,45549.44,2025-09-30,2025-10-06
500265,ACC00265,2025-09,244047846.97,0.0035,71180.62,71230.14,2025-09-30,2025-10-06
500266,ACC00266,2025-09,247808602.31,0.0035,72277.51,72207.46,2025-09-30,2025-10-05
500267,ACC00267,2025-09,244448493.22,0.006,122224.25,122154.47,2025-09-30,2025-10-05
500268,ACC00268,2025-09,122286935.38,0.0035,35667.02,35646.21,2025-09-30,2025-10-03
500269,ACC00269,2025-09,160689541.74,0.0045,60258.58,60220.13,2025-09-30,2025-10-07
500270,ACC00270,2025-09,192144370.91,0.006,96072.19,95978.04,2025-09-30,2025-10-05
500271,ACC00271,2025-09,176565171.59,0.0045,66211.94,66146.01,2025-09-30,2025-10-08
500272,ACC00272,2025-09,225236785.67,0.0045,84463.79,84483.55,2025-09-30,2025-10-05
500273,ACC00273,2025-09,92278581.78,0.006,46139.29,47620.44,2025-09-30,2025-10-05
500274,ACC00274,2025-09,32038621.85,0.0045,12014.48,,2025-09-30,2025-10-04
500275,ACC00275,2025-09,167927695.92,0.0045,62972.89,62973.57,2025-09-30,2025-10-03
500276,ACC00276,2025-09,159744538.36,0.0035,46592.16,46637.99,2025-09-30,2025-10-07
500277,ACC00277,2025-09,33401038.98,0.006,16700.52,16701.44,2025-09-30,2025-10-08
500278,ACC00278,2025-09,27292874.68,0.0075,17058.05,17049.94,2025-09-30,2025-10-03
500279,ACC00279,2025-09,67018573.18,0.0075,41886.61,41920.49,2025-09-30,2025-10-19
500280,ACC00280,2025-09,16572221.71,0.0075,10357.64,10363.19,2025-09-30,2025-10-06
500281,ACC00281,2025-09,234203688.18,0.0045,87826.38,87774.84,2025-09-30,2025-10-04
500282,ACC00282,2025-09,181777600.93,0.0045,68166.6,68233.79,2025-09-30,2025-10-05
500283,ACC00283,2025-09,202693088.16,0.006,101346.54,101317.13,2025-09-30,2025-10-06
500284,ACC00284,2025-09,170989550.3,0.0045,64121.08,64092.05,2025-09-30,2025-10-06
500285,ACC00285,2025-09,50477487.67,0.0075,31548.43,31565.24,2025-09-30,2025-10-19
