movement_id,account_id,movement_type,amount,movement_date,approver_1,approver_2,custodian_match_flag
1100030,ACC00219,Wire Out,54765.61,2025-09-03,APPR010,APPR004,True
1100031,ACC00823,Collateral Pledge,277218.34,2025-09-03,APPR006,APPR003,True
1100032,ACC00079,Collateral Pledge,179334.99,2025-09-03,APPR011,APPR010,True
1100033,ACC00118,Collateral Pledge,78555.63,2025-09-03,APPR003,APPR004,True
1100034,ACC00699,Wire Out,217838.09,2025-09-03,APPR012,,True
1100035,ACC00832,Collateral Pledge,73273.47,2025-09-04,APPR013,APPR011,True
1100036,ACC00816,Collateral Return,175372.81,2025-09-04,APPR003,APPR011,True
1100037,ACC00445,Collateral Return,19911.07,2025-09-04,APPR007,,True
1100038,ACC00371,Collateral Return,90354.08,2025-09-04,APPR005,,True
1100039,ACC00596,Wire In,43443.49,2025-09-04,APPR010,APPR003,True
1100040,ACC00161,Collateral Pledge,176404.5,2025-09-04,APPR002,,True
1100041,ACC00183,Wire In,744352.71,2025-09-04,APPR009,APPR010,True
1100042,ACC00359,Wire In,664837.38,2025-09-04,APPR007,APPR008,True
1100043,ACC00542,Collateral Return,13704.2,2025-09-04,APPR009,,True
1100044,ACC00776,Collateral Pledge,452970.82,2025-09-04,APPR006,APPR014,True
1100045,ACC00123,Collateral Pledge,285202.5,2025-09-04,APPR006,APPR011,True
1100046,ACC00798,Wire Out,277904.74,2025-09-04,APPR001,APPR008,True
1100047,ACC00254,Wire Out,77265.53,2025-09-05,APPR013,,True
1100048,ACC00714,Collateral Pledge,65414.54,2025-09-05,APPR009,,True
1100049,ACC00341,Collateral Return,230630.97,2025-09-05,APPR002,APPR011,True
1100050,ACC00859,Collateral Pledge,185683.16,2025-09-05,APPR009,APPR008,True
1100051,ACC00890,Collateral Pledge,101684.95,2025-09-05,APPR006,APPR002,True
1100052,ACC00247,Collateral Pledge,175121.91,2025-09-05,APPR009,,True
1100053,ACC00043,Wire Out,31719.47,2025-09-05,APPR001,APPR003,True
1100054,ACC00302,Wire In,60694.11,2025-09-05,APPR005,,True
1100055,ACC00372,Collateral Return,657297.46,2025-09-05,APPR006,APPR009,False
1100056,ACC00233,Collateral Pledge,22104.83,2025-09-05,APPR007,APPR006,True
1100057,ACC00775,Wire Out,20390.45,2025-09-05,APPR002,APPR005,True
1100058,ACC00883,Collateral Pledge,211247.65,2025-09-08,APPR011,,True
1100059,ACC00457,Collateral Return,395126.03,2025-09-08,APPR009,APPR010,True
1100060,ACC00856,Wire In,105624.36,2025-09-08,APPR009,APPR007,True
1100061,ACC00405,Collateral Return,95581.13,2025-09-08,APPR005,,True
1100062,ACC00840,Collateral Pledge,95008.61,2025-09-08,APPR012,APPR009,True
1100063,ACC00616,Wire In,172981.81,2025-09-08,APPR002,,True
1100064,ACC00706,Wire Out,528734.17,2025-09-08,APPR006,APPR008,True
1100065,ACC00882,Wire In,192388.54,2025-09-08,APPR014,,True
1100066,ACC00476,Wire Out,48899.8,2025-09-08,APPR012,,True
1100067,ACC00815,Wire In,465055.05,2025-09-08,APPR013,APPR001,True
1100068,ACC00127,Wire In,23120.86,2025-09-08,APPR013,,True
1100069,ACC00246,Wire In,106398.63,2025-09-09,APPR012,,True
1100070,ACC00428,Wire Out,211951.29,2025-09-09,APPR008,,True
1100071,ACC00012,Wire In,108926.34,2025-09-09,APPR008,APPR011,True
1100072,ACC00062,Wire In,59585.03,2025-09-09,APPR002,APPR006,True
1100073,ACC00136,Collateral Pledge,41569.12,2025-09-09,APPR003,APPR002,True
1100074,ACC00174,Wire Out,189211.88,2025-09-09,APPR011,,True
1100075,ACC00525,Wire Out,336132.77,2025-09-09,APPR005,APPR009,False
1100076,ACC00761,Wire In,11726.91,2025-09-09,APPR014,,True
1100077,ACC00015,Collateral Return,45784.63,2025-09-09,APPR005,,True
1100078,ACC00847,Collateral Pledge,87538.95,2025-09-09,APPR013,APPR007,True
1100079,ACC00745,Collateral Return,296302.72,2025-09-09,APPR009,APPR006,True
1100080,ACC00138,Wire Out,171796.66,2025-09-09,APPR007,,True
1100081,ACC00734,Wire In,55324.91,2025-09-09,APPR004,APPR002,True
1100082,ACC00060,Collateral Return,536198.86,2025-09-09,APPR013,APPR005,True
1100083,ACC00025,Wire Out,168719.8,2025-09-09,APPR010,APPR009,True
1100084,ACC00620,Collateral Pledge,172757.84,2025-09-09,APPR001,APPR010,True
1100085,ACC00841,Wire Out,142647.46,2025-09-09,APPR006,,True
1100086,ACC00638,Collateral Pledge,61414.18,2025-09-10,APPR007,,True
1100087,ACC00450,Wire In,9380.91,2025-09-10,APPR005,APPR006,True
1100088,ACC00595,Wire Out,793724.04,2025-09-10,APPR002,APPR001,True
1100089,ACC00664,Collateral Pledge,44995.21,2025-09-10,APPR005,APPR002,True
1100090,ACC00242,Collateral Pledge,30851.49,2025-09-10,APPR006,,True
1100091,ACC00521,Wire Out,105364.14,2025-09-10,APPR008,APPR010,True
1100092,ACC00840,Collateral Pledge,141557.47,2025-09-10,APPR005,,True
1100093,ACC00316,Wire In,201119.35,2025-09-10,APPR014,APPR010,True
1100094,ACC00052,Collateral Return,241639.6,2025-09-10,APPR013,APPR009,True
1100095,ACC00792,Wire Out,45178.11,2025-09-10,APPR011,,True
1100096,ACC00873,Wire Out,83700.98,2025-09-10,APPR012,APPR013,True
1100097,ACC00326,Wire Out,523133.31,2025-09-10,APPR003,APPR004,True
1100098,ACC00118,Collateral Return,76700.63,2025-09-10,APPR011,APPR012,True
1100099,ACC00869,Wire In,178297.72,2025-09-10,APPR004,APPR012,True
1100100,ACC00194,Wire Out,246694.79,2025-09-10,APPR007,,True
1100101,ACC00816,Collateral Pledge,160339.57,2025-09-10,APPR001,APPR012,True
1100102,ACC00798,Wire Out,220898.03,2025-09-10,APPR012,APPR005,True
1100103,ACC00279,Collateral Return,175242.61,2025-09-10,APPR014,APPR013,True
1100104,ACC00304,Collateral Return,119102.89,2025-09-10,APPR008,APPR009,True
1100105,ACC00007,Collateral Return,239417.3,2025-09-10,APPR010,,True
1100106,ACC00477,Wire Out,59040.38,2025-09-10,APPR013,,True
1100107,ACC00859,Collateral Pledge,173000.7,2025-09-10,APPR006,,True
1100108,ACC00764,Wire In,55241.28,2025-09-10,APPR004,APPR011,True
1100109,ACC00865,Wire Out,167803.08,2025-09-11,APPR005,APPR013,True
1100110,ACC00810,Wire In,121909.21,2025-09-11,APPR002,,True
1100111,ACC00163,Collateral Return,494363.7,2025-09-11,APPR009,APPR014,True
1100112,ACC00758,Wire Out,170824.85,2025-09-11,APPR008,APPR002,True
1100113,ACC00245,Collateral Pledge,877066.14,2025-09-11,APPR007,APPR008,True
1100114,ACC00448,Wire Out,367006.98,2025-09-11,APPR001,APPR005,True
1100115,ACC00845,Collateral Return,108706.43,2025-09-11,APPR005,,True
1100116,ACC00893,Collateral Pledge,50047.0,2025-09-11,APPR009,,True
1100117,ACC00686,Wire In,148648.06,2025-09-11,APPR009,,True
1100118,ACC00622,Collateral Return,268927.74,2025-09-11,APPR004,APPR002,True
1100119,ACC00012,Wire Out,130829.52,2025-09-11,APPR014,,True
1100120,ACC00787,Collateral Pledge,149261.76,2025-09-11,APPR004,,True
1100121,ACC00687,Wire In,14405.95,2025-09-12,APPR004,APPR012,True
1100122,ACC00874,Wire In,160063.0,2025-09-12,APPR013,APPR010,True
1100123,ACC00380,Collateral Return,435425.81,2025-09-12,APPR001,APPR009,True
1100124,ACC00602,Wire Out,121791.12,2025-09-12,APPR009,,True
1100125,ACC00747,Collateral Pledge,657720.85,2025-09-12,APPR001,,True
1100126,ACC00854,Wire In,539338.66,2025-09-12,APPR014,APPR008,True
1100127,ACC00613,Collateral Pledge,193736.73,2025-09-12,APPR006,APPR001,True
1100128,ACC00863,Collateral Return,42643.07,2025-09-12,APPR014,,True
1100129,ACC00150,Wire In,49105.67,2025-09-12,APPR001,,True
1100130,ACC00444,Wire Out,584756.31,2025-09-12,APPR010,APPR002,True
1100131,ACC00534,Wire In,504881.95,2025-09-12,APPR005,APPR011,True
1100132,ACC00210,Collateral Pledge,19125.02,2025-09-12,APPR011,APPR009,True
1100133,ACC00703,Collateral Return,153252.14,2025-09-12,APPR004,,True
1100134,ACC00160,Wire In,41870.66,2025-09-12,APPR012,,True
1100135,ACC00479,Collateral Pledge,379316.22,2025-09-12,APPR001,,True
1100136,ACC00375,Collateral Pledge,95909.78,2025-09-12,APPR008,APPR005,True
1100137,ACC00384,Wire In,77732.33,2025-09-12,APPR011,,True
1100138,ACC00455,Collateral Return,138174.67,2025-09-12,APPR002,,True
1100139,ACC00152,Wire Out,34245.08,2025-09-12,APPR002,,True
1100140,ACC00810,Collateral Return,96883.22,2025-09-12,APPR008,,True
1100141,ACC00574,Wire In,34705.21,2025-09-12,APPR007,,True
1100142,ACC00177,Collateral Pledge,264542.13,2025-09-12,APPR014,APPR010,True
1100143,ACC00040,Collateral Return,147285.15,2025-09-12,APPR014,,True
1100144,ACC00299,Wire Out,21499.51,2025-09-12,APPR005,APPR004,True
1100145,ACC00532,Collateral Pledge,99586.44,2025-09-12,APPR013,APPR009,True
1100146,ACC00532,Collateral Pledge,344223.03,2025-09-15,APPR006,APPR009,True
1100147,ACC00504,Collateral Pledge,102931.89,2025-09-15,APPR013,,True
1100148,ACC00555,Collateral Return,144516.88,2025-09-15,APPR001,APPR002,True
1100149,ACC00751,Collateral Pledge,51165.47,2025-09-15,APPR002,,True
1100150,ACC00410,Collateral Return,98012.23,2025-09-15,APPR004,,True
1100151,ACC00183,Wire Out,172746.09,2025-09-15,APPR008,,True
1100152,ACC00686,Wire Out,219879.09,2025-09-15,APPR004,,True
1100153,ACC00432,Collateral Pledge,210893.74,2025-09-15,APPR005,APPR006,True
1100154,ACC00783,Collateral Pledge,194968.62,2025-09-15,APPR011,APPR005,True
1100155,ACC00364,Wire Out,41948.34,2025-09-15,APPR009,APPR008,True
1100156,ACC00031,Wire Out,1261289.35,2025-09-15,APPR003,APPR013,True
1100157,ACC00072,Wire Out,62733.73,2025-09-15,APPR006,APPR013,True
1100158,ACC00455,Wire In,282375.18,2025-09-16,APPR008,APPR010,True
1100159,ACC00655,Collateral Pledge,264437.94,2025-09-16,APPR012,APPR002,True
1100160,ACC00870,Wire In,94569.26,2025-09-16,APPR004,,True
1100161,ACC00661,Collateral Return,311837.27,2025-09-16,APPR013,APPR006,True
1100162,ACC00740,Collateral Pledge,501097.55,2025-09-16,APPR014,APPR006,True
1100163,ACC00387,Wire Out,37707.52,2025-09-16,APPR010,APPR003,True
1100164,ACC00427,Wire In,133021.42,2025-09-16,APPR014,,True
1100165,ACC00541,Wire Out,42432.05,2025-09-16,APPR013,,True
1100166,ACC00168,Collateral Return,35662.48,2025-09-16,APPR014,,True
1100167,ACC00141,Wire Out,1090127.91,2025-09-16,APPR001,APPR011,True
1100168,ACC00063,Wire Out,45010.41,2025-09-16,APPR001,,True
1100169,ACC00576,Collateral Return,203360.53,2025-09-16,APPR008,APPR011,True
1100170,ACC00267,Collateral Return,35645.61,2025-09-16,APPR014,,True
1100171,ACC00715,Collateral Pledge,92159.06,2025-09-16,APPR014,APPR005,True
1100172,ACC00050,Wire In,41495.68,2025-09-16,APPR011,APPR003,True
1100173,ACC00377,Wire In,35843.75,2025-09-17,APPR004,APPR005,True
1100174,ACC00171,Collateral Pledge,134225.64,2025-09-17,APPR004,,True
1100175,ACC00151,Wire Out,112161.89,2025-09-17,APPR009,,True
1100176,ACC00217,Wire Out,214834.35,2025-09-17,APPR006,APPR003,True
1100177,ACC00620,Collateral Pledge,149596.85,2025-09-17,APPR013,,False
1100178,ACC00550,Wire Out,20478.75,2025-09-17,APPR009,,True
1100179,ACC00229,Wire In,70038.22,2025-09-17,APPR007,APPR004,True
1100180,ACC00208,Wire In,84993.04,2025-09-17,APPR012,,True
1100181,ACC00006,Collateral Pledge,2344000.41,2025-09-17,APPR011,APPR009,False
1100182,ACC00381,Collateral Return,13745.61,2025-09-17,APPR005,APPR003,True
1100183,ACC00685,Wire Out,124282.88,2025-09-17,APPR006,APPR014,True
1100184,ACC00152,Wire In,580758.39,2025-09-17,APPR001,APPR005,True
1100185,ACC00402,Collateral Return,226071.69,2025-09-17,APPR011,,True
1100186,ACC00811,Collateral Return,103312.92,2025-09-17,APPR001,,True
1100187,ACC00120,Wire In,32339.97,2025-09-17,APPR013,,True
1100188,ACC00883,Collateral Pledge,19524.82,2025-09-17,APPR004,APPR010,True
1100189,ACC00829,Collateral Pledge,394783.22,2025-09-18,APPR007,APPR008,True
1100190,ACC00451,Wire In,101557.99,2025-09-18,APPR003,APPR008,True
1100191,ACC00406,Collateral Return,71604.0,2025-09-18,APPR010,,True
1100192,ACC00223,Collateral Return,42870.05,2025-09-18,APPR008,,True
1100193,ACC00159,Wire In,101998.4,2025-09-18,APPR008,,True
1100194,ACC00017,Wire Out,109711.88,2025-09-18,APPR004,,True
1100195,ACC00819,Wire In,122032.07,2025-09-18,APPR013,APPR007,True
1100196,ACC00293,Wire Out,164179.5,2025-09-18,APPR011,APPR013,True
1100197,ACC00391,Collateral Pledge,50974.67,2025-09-18,APPR006,,True
1100198,ACC00554,Wire In,36612.67,2025-09-18,APPR002,,True
1100199,ACC00110,Collateral Return,22359.17,2025-09-18,APPR014,APPR010,True
1100200,ACC00006,Wire In,23528.89,2025-09-18,APPR010,,True
1100201,ACC00558,Wire In,31215.46,2025-09-18,APPR006,,True
1100202,ACC00079,Collateral Pledge,868788.94,2025-09-18,APPR009,APPR014,True
1100203,ACC00645,Wire In,126540.66,2025-09-18,APPR002,APPR012,True
1100204,ACC00348,Collateral Pledge,46331.3,2025-09-18,APPR007,,True
1100205,ACC00826,Wire Out,75440.58,2025-09-18,APPR004,APPR012,True
1100206,ACC00280,Wire Out,94695.52,2025-09-18,APPR010,APPR012,True
1100207,ACC00714,Wire Out,95258.35,2025-09-19,APPR007,,True
1100208,ACC00033,Collateral Return,38253.52,2025-09-19,APPR004,APPR008,True
1100209,ACC00726,Collateral Pledge,235152.73,2025-09-19,APPR003,,True
1100210,ACC00011,Collateral Pledge,226438.83,2025-09-19,APPR003,,True
1100211,ACC00882,Wire Out,1140381.53,2025-09-19,APPR013,APPR006,True
1100212,ACC00272,Collateral Pledge,94279.88,2025-09-19,APPR001,,True
1100213,ACC00818,Wire Out,5061.25,2025-09-19,APPR012,APPR001,True
1100214,ACC00394,Collateral Pledge,460587.83,2025-09-19,APPR013,APPR005,True
1100215,ACC00713,Collateral Return,123195.23,2025-09-19,APPR010,,True
1100216,ACC00269,Wire In,167895.3,2025-09-19,APPR004,APPR003,True
1100217,ACC00180,Collateral Pledge,51525.08,2025-09-19,APPR014,,True
1100218,ACC00808,Collateral Return,17867.13,2025-09-19,APPR006,,True
1100219,ACC00837,Wire Out,342140.37,2025-09-19,APPR001,APPR010,True
1100220,ACC00628,Collateral Return,402179.37,2025-09-19,APPR002,APPR008,True
1100221,ACC00486,Wire In,97556.73,2025-09-19,APPR006,,True
1100222,ACC00692,Collateral Pledge,183087.34,2025-09-19,APPR013,,True
1100223,ACC00603,Collateral Pledge,86443.59,2025-09-19,APPR007,APPR013,True
1100224,ACC00250,Collateral Pledge,87325.75,2025-09-19,APPR004,,True
1100225,ACC00792,Collateral Return,40521.52,2025-09-19,APPR009,,True
1100226,ACC00127,Wire In,553038.08,2025-09-22,APPR012,APPR013,True
1100227,ACC00250,Wire In,42540.52,2025-09-22,APPR003,APPR006,True
1100228,ACC00445,Collateral Return,19303.69,2025-09-22,APPR001,APPR012,True
1100229,ACC00169,Collateral Pledge,63933.53,2025-09-22,APPR002,,True
1100230,ACC00094,Wire Out,110429.27,2025-09-22,APPR009,APPR010,True
1100231,ACC00812,Wire In,448097.52,2025-09-22,APPR004,,True
1100232,ACC00252,Wire Out,245333.67,2025-09-22,APPR007,APPR001,True
1100233,ACC00556,Wire Out,68049.63,2025-09-22,APPR002,,True
1100234,ACC00163,Collateral Return,309300.75,2025-09-22,APPR008,APPR011,True
1100235,ACC00587,Collateral Return,106453.39,2025-09-22,APPR007,,True
1100236,ACC00894,Collateral Pledge,129052.48,2025-09-22,APPR003,APPR002,False
1100237,ACC00046,Collateral Pledge,84094.08,2025-09-22,APPR004,APPR009,True
1100238,ACC00426,Collateral Pledge,79083.38,2025-09-22,APPR007,APPR004,True
1100239,ACC00890,Wire In,85705.58,2025-09-22,APPR003,APPR001,True
1100240,ACC00848,Wire Out,15076.81,2025-09-22,APPR011,APPR002,True
1100241,ACC00010,Wire Out,78574.77,2025-09-22,APPR002,APPR001,True
1100242,ACC00525,Collateral Return,567951.17,2025-09-22,APPR004,APPR013,True
1100243,ACC00272,Wire Out,57089.58,2025-09-22,APPR012,APPR010,True
1100244,ACC00378,Collateral Return,91006.3,2025-09-22,APPR004,APPR008,True
1100245,ACC00331,Collateral Pledge,168470.06,2025-09-22,APPR009,,True
1100246,ACC00717,Wire Out,22433.97,2025-09-23,APPR013,APPR003,True
1100247,ACC00680,Wire Out,73060.5,2025-09-23,APPR006,APPR007,True
1100248,ACC00556,Collateral Pledge,562103.49,2025-09-23,APPR014,APPR005,True
1100249,ACC00381,Collateral Pledge,2055560.45,2025-09-23,APPR014,APPR013,True
1100250,ACC00822,Wire Out,67194.97,2025-09-23,APPR001,,True
1100251,ACC00072,Collateral Return,336848.37,2025-09-23,APPR001,APPR003,True
1100252,ACC00064,Wire In,43587.09,2025-09-23,APPR012,APPR001,True
1100253,ACC00001,Collateral Pledge,88101.86,2025-09-23,APPR004,,True
1100254,ACC00751,Wire In,88308.19,2025-09-23,APPR003,APPR014,True
1100255,ACC00479,Wire In,17471.97,2025-09-23,APPR008,,True
1100256,ACC00413,Wire In,332325.42,2025-09-23,APPR003,APPR001,True
1100257,ACC00536,Wire Out,52956.86,2025-09-23,APPR011,APPR009,True
1100258,ACC00012,Collateral Pledge,349226.59,2025-09-23,APPR006,APPR007,True
1100259,ACC00396,Wire Out,78864.71,2025-09-23,APPR002,APPR011,True
1100260,ACC00085,Wire In,85909.84,2025-09-23,APPR012,,True
1100261,ACC00226,Wire Out,129212.26,2025-09-23,APPR003,,True
1100262,ACC00132,Collateral Pledge,35299.42,2025-09-23,APPR013,,True
1100263,ACC00510,Collateral Pledge,25855.0,2025-09-23,APPR002,,True
1100264,ACC00005,Wire Out,431630.93,2025-09-23,APPR006,APPR014,True
1100265,ACC00488,Collateral Pledge,67425.74,2025-09-23,APPR001,,True
1100266,ACC00236,Wire Out,131219.34,2025-09-24,APPR003,APPR013,True
1100267,ACC00413,Collateral Return,207427.3,2025-09-24,APPR007,APPR010,True
1100268,ACC00233,Collateral Pledge,320149.1,2025-09-24,APPR005,APPR012,True
1100269,ACC00042,Wire In,104083.21,2025-09-24,APPR007,,True
1100270,ACC00765,Collateral Pledge,50567.95,2025-09-24,APPR006,,True
1100271,ACC00266,Wire In,79251.31,2025-09-24,APPR005,APPR011,True
1100272,ACC00171,Wire Out,187341.86,2025-09-24,APPR001,APPR005,True
1100273,ACC00309,Collateral Return,75805.41,2025-09-24,APPR004,APPR009,True
1100274,ACC00242,Collateral Pledge,89447.24,2025-09-24,APPR003,APPR001,True
1100275,ACC00660,Collateral Return,30061.51,2025-09-24,APPR013,,True
1100276,ACC00774,Wire Out,54254.09,2025-09-24,APPR011,APPR006,True
1100277,ACC00376,Collateral Pledge,62090.67,2025-09-24,APPR014,APPR008,True
1100278,ACC00118,Wire Out,64694.1,2025-09-24,APPR004,,True
1100279,ACC00452,Collateral Return,42189.73,2025-09-24,APPR010,,True
1100280,ACC00583,Collateral Pledge,156103.87,2025-09-24,APPR006,,True
1100281,ACC00425,Collateral Return,44952.86,2025-09-24,APPR013,APPR007,True
1100282,ACC00563,Wire Out,78680.38,2025-09-24,APPR014,,True
1100283,ACC00811,Wire Out,211792.93,2025-09-24,APPR013,APPR014,True
1100284,ACC00593,Collateral Pledge,69704.64,2025-09-24,APPR011,APPR010,True
1100285,ACC00065,Wire In,1975915.11,2025-09-25,APPR002,APPR010,True
1100286,ACC00301,Collateral Pledge,371696.9,2025-09-25,APPR006,APPR011,True
1100287,ACC00464,Wire Out,342675.32,2025-09-25,APPR010,APPR006,True
1100288,ACC00577,Wire Out,483131.69,2025-09-25,APPR009,APPR003,True
1100289,ACC00657,Wire Out,54209.6,2025-09-25,APPR013,,True
1100290,ACC00704,Collateral Return,71682.29,2025-09-25,APPR006,APPR001,True
1100291,ACC00642,Collateral Return,5508.92,2025-09-25,APPR009,,True
1100292,ACC00171,Wire Out,331085.65,2025-09-25,APPR014,APPR004,True
1100293,ACC00337,Wire In,399449.9,2025-09-25,APPR004,APPR006,True
1100294,ACC00598,Wire Out,223726.18,2025-09-25,APPR008,APPR007,True
1100295,ACC00707,Wire In,18101.63,2025-09-25,APPR012,,True
1100296,ACC00830,Collateral Pledge,47709.83,2025-09-26,APPR008,APPR007,True
1100297,ACC00800,Wire In,2080756.44,2025-09-26,APPR005,APPR013,True
1100298,ACC00437,Collateral Return,78871.59,2025-09-26,APPR002,APPR003,True
1100299,ACC00735,Wire In,56310.4,2025-09-26,APPR010,,True
1100300,ACC00436,Wire Out,82831.35,2025-09-26,APPR005,APPR003,True
1100301,ACC00304,Collateral Return,91143.87,2025-09-26,APPR004,APPR005,True
1100302,ACC00058,Wire Out,87889.47,2025-09-26,APPR012,APPR008,True
1100303,ACC00895,Wire Out,83476.35,2025-09-26,APPR005,,True
1100304,ACC00878,Wire Out,55721.39,2025-09-26,APPR008,,True
1100305,ACC00231,Wire In,77069.42,2025-09-26,APPR001,APPR010,False
1100306,ACC00498,Wire In,39477.93,2025-09-29,APPR001,,True
1100307,ACC00059,Collateral Return,11735.77,2025-09-29,APPR004,APPR013,True
1100308,ACC00284,Collateral Pledge,47678.96,2025-09-29,APPR006,APPR014,True
1100309,ACC00133,Collateral Return,257440.09,2025-09-29,APPR010,APPR006,True
1100310,ACC00814,Collateral Return,162053.48,2025-09-29,APPR006,APPR007,True
1100311,ACC00648,Collateral Pledge,568093.23,2025-09-29,APPR006,APPR014,True
1100312,ACC00246,Wire In,203822.48,2025-09-29,APPR012,,True
1100313,ACC00356,Collateral Pledge,360795.02,2025-09-29,APPR009,APPR014,True
1100314,ACC00759,Wire In,205793.34,2025-09-29,APPR007,,True
1100315,ACC00162,Wire In,220663.44,2025-09-29,APPR003,,True
1100316,ACC00490,Wire In,299785.23,2025-09-29,APPR005,APPR014,True
1100317,ACC00252,Collateral Pledge,387169.03,2025-09-29,APPR003,APPR009,True
1100318,ACC00845,Collateral Return,153258.86,2025-09-29,APPR008,,True
1100319,ACC00070,Collateral Return,112240.5,2025-09-29,APPR004,,True
1100320,ACC00327,Collateral Pledge,167677.83,2025-09-29,APPR005,,True
1100321,ACC00285,Collateral Pledge,24832.68,2025-09-29,APPR007,APPR009,True
1100322,ACC00633,Collateral Pledge,33579.8,2025-09-29,APPR005,,True
1100323,ACC00476,Wire In,345719.74,2025-09-30,APPR001,APPR011,True
1100324,ACC00628,Collateral Pledge,519711.12,2025-09-30,APPR009,APPR001,True
1100325,ACC00517,Collateral Pledge,112210.22,2025-09-30,APPR014,APPR010,True
1100326,ACC00545,Wire In,200862.75,2025-09-30,APPR005,APPR001,True
1100327,ACC00318,Wire Out,216702.58,2025-09-30,APPR006,APPR004,True
1100328,ACC00063,Wire In,112832.6,2025-09-30,APPR006,APPR007,True
1100329,ACC00844,Wire In,45662.63,2025-09-30,APPR001,,True
1100330,ACC00858,Collateral Return,472717.28,2025-09-30,APPR014,APPR003,True
1100331,ACC00892,Wire In,184035.98,2025-09-30,APPR014,APPR009,True
1100332,ACC00785,Wire Out,156299.21,2025-09-30,APPR013,,True
1100333,ACC00772,Wire Out,11173.57,2025-09-30,APPR008,,True
1100334,ACC00863,Wire In,124058.65,2025-09-30,APPR010,,True
1100335,ACC00586,Wire Out,134272.41,2025-09-30,APPR009,,True
1100336,ACC00444,Wire In,49932.28,2025-09-30,APPR002,APPR008,True
1100337,ACC00613,Collateral Return,1209779.91,2025-09-30,APPR006,APPR002,True
1100338,ACC00436,Wire Out,537720.84,2025-10-01,APPR013,APPR004,True
1100339,ACC00329,Wire Out,107369.4,2025-10-01,APPR008,,True
1100340,ACC00601,Collateral Pledge,59000.67,2025-10-01,APPR005,APPR010,True
1100341,ACC00211,Wire Out,39887.49,2025-10-01,APPR006,APPR008,True
1100342,ACC00235,Wire In,389990.18,2025-10-01,APPR002,APPR007,True
1100343,ACC00338,Wire In,421407.43,2025-10-01,APPR013,APPR007,True
1100344,ACC00395,Wire Out,382996.38,2025-10-01,APPR002,APPR011,True
1100345,ACC00471,Collateral Return,182475.28,2025-10-01,APPR013,APPR012,True
1100346,ACC00575,Collateral Return,97216.92,2025-10-01,APPR010,,True
1100347,ACC00136,Wire In,128415.84,2025-10-01,APPR004,APPR012,True
1100348,ACC00570,Collateral Return,492759.42,2025-10-01,APPR003,APPR008,True
1100349,ACC00215,Wire Out,108859.8,2025-10-01,APPR009,,True
1100350,ACC00298,Wire In,51523.38,2025-10-01,APPR002,APPR013,True
1100351,ACC00437,Wire In,139563.79,2025-10-02,APPR009,APPR001,True
1100352,ACC00315,Collateral Return,229683.6,2025-10-02,APPR002,,True
1100353,ACC00842,Collateral Return,82784.97,2025-10-02,APPR004,,True
1100354,ACC00814,Wire Out,137501.23,2025-10-02,APPR012,APPR011,True
1100355,ACC00020,Collateral Pledge,184762.25,2025-10-02,APPR008,APPR002,True
