case_id,client_id,client_risk_rating,last_review_date,next_due_date,review_completed_date,status,documents_complete,is_open,days_late
700130,CLI03571,Low,2024-09-30,2025-10-04,2025-10-04,Completed-OnTime,True,False,0.0
700131,CLI01288,Low,2024-09-30,2025-10-03,2025-09-30,Completed-OnTime,True,False,0.0
700132,CLI02520,Low,2024-09-30,2025-10-01,2025-09-30,Completed-OnTime,True,False,0.0
700133,CLI02610,Low,2024-09-30,2025-10-02,2025-09-27,Completed-OnTime,True,False,0.0
700134,CLI00662,Medium,2024-09-30,2025-09-30,2025-09-27,Completed-OnTime,True,False,0.0
700135,CLI01887,Low,2024-09-30,2025-10-01,2025-09-30,Completed-OnTime,True,False,0.0
700136,CLI03991,Medium,2024-09-30,2025-10-04,2025-10-04,Completed-OnTime,True,False,0.0
700137,CLI03498,Medium,2024-09-30,2025-09-30,2025-09-27,Completed-OnTime,True,False,0.0
700138,CLI01063,Low,2024-09-30,2025-10-02,2025-10-02,Completed-OnTime,True,False,0.0
700139,CLI01643,Medium,2024-09-30,2025-10-04,2025-09-29,Completed-OnTime,True,False,0.0
700140,CLI01869,Medium,2024-09-30,2025-10-04,2025-09-30,Completed-OnTime,True,False,0.0
700141,CLI03647,Medium,2024-09-30,2025-10-03,2025-09-29,Completed-OnTime,True,False,0.0
700142,CLI02767,Low,2024-09-30,2025-10-04,2025-09-29,Completed-OnTime,False,False,0.0
700143,CLI01900,Low,2024-09-30,2025-10-02,2025-09-29,Completed-OnTime,True,False,0.0
700144,CLI02691,Low,2024-09-30,2025-10-04,2025-10-28,Completed-Late,True,False,24.0
700145,CLI03124,Low,2024-09-30,2025-09-30,2025-09-27,Completed-OnTime,True,False,0.0
700146,CLI02835,Low,2024-09-30,2025-10-01,2025-09-30,Completed-OnTime,False,False,0.0
700147,CLI01657,Low,2024-09-30,2025-10-01,2025-09-27,Completed-OnTime,True,False,0.0
700148,CLI02647,Low,2024-09-30,2025-10-03,2025-10-02,Completed-OnTime,True,False,0.0
700149,CLI00389,Low,2024-09-30,2025-10-04,,Open,True,True,
700150,CLI00099,Low,2024-09-30,2025-10-01,2025-09-27,Completed-OnTime,True,False,0.0
700151,CLI00539,Low,2024-10-31,2025-11-02,2025-10-29,Completed-OnTime,True,False,0.0
700152,CLI01826,High,2024-10-31,2025-11-03,2025-11-02,Completed-OnTime,True,False,0.0
700153,CLI03306,Low,2024-10-31,2025-11-01,2025-10-31,Completed-OnTime,True,False,0.0
700154,CLI00403,Low,2024-10-31,2025-11-03,2025-10-30,Completed-OnTime,True,False,0.0
700155,CLI00891,Low,2024-10-31,2025-10-31,2025-10-27,Completed-OnTime,True,False,0.0
700156,CLI00278,Low,2024-10-31,2025-11-03,2025-10-31,Completed-OnTime,True,False,0.0
700157,CLI03987,Low,2024-10-31,2025-11-02,2025-10-28,Completed-OnTime,True,False,0.0
700158,CLI03351,Low,2024-10-31,2025-11-01,2025-10-29,Completed-OnTime,False,False,0.0
700159,CLI01534,Medium,2024-10-31,2025-11-01,2025-10-31,Completed-OnTime,True,False,0.0
700160,CLI01030,Medium,2024-10-31,2025-11-01,2025-10-28,Completed-OnTime,True,False,0.0
700161,CLI00265,Medium,2024-10-31,2025-11-04,2025-11-02,Completed-OnTime,True,False,0.0
700162,CLI00451,Low,2024-10-31,2025-11-04,2025-11-03,Completed-OnTime,True,False,0.0
700163,CLI01457,Low,2024-10-31,2025-11-04,2025-10-30,Completed-OnTime,True,False,0.0
700164,CLI03679,Medium,2024-10-31,2025-11-04,2025-10-31,Completed-OnTime,True,False,0.0
700165,CLI03942,Medium,2024-10-31,2025-11-01,2025-10-31,Completed-OnTime,True,False,0.0
700166,CLI03769,Low,2024-10-31,2025-11-03,2025-11-03,Completed-OnTime,True,False,0.0
700167,CLI01096,Medium,2024-10-31,2025-11-03,2025-10-29,Completed-OnTime,True,False,0.0
700168,CLI03632,Low,2024-10-31,2025-10-31,2025-10-26,Completed-OnTime,True,False,0.0
700169,CLI03054,Medium,2024-10-31,2025-10-31,2025-10-26,Completed-OnTime,True,False,0.0
700170,CLI01435,Low,2024-10-31,2025-11-01,2025-10-27,Completed-OnTime,True,False,0.0
700171,CLI01943,Low,2024-10-31,2025-10-31,2025-10-29,Completed-OnTime,True,False,0.0
700172,CLI02925,Medium,2024-10-31,2025-10-31,2025-10-28,Completed-OnTime,True,False,0.0
700173,CLI03231,Medium,2024-10-31,2025-11-04,2025-10-31,Completed-OnTime,False,False,0.0
700174,CLI02088,High,2024-10-31,2025-11-04,2025-11-25,Completed-Late,True,False,21.0
700175,CLI00862,Medium,2024-10-31,2025-11-04,2025-11-01,Completed-OnTime,True,False,0.0
700176,CLI00087,High,2024-10-31,2025-11-01,2025-10-31,Completed-OnTime,True,False,0.0
700177,CLI02632,Medium,2024-10-31,2025-11-03,,Open,True,True,
700178,CLI02246,High,2024-10-31,2025-11-03,2025-11-03,Completed-OnTime,True,False,0.0
700179,CLI03713,Low,2024-10-31,2025-11-03,2025-11-02,Completed-OnTime,True,False,0.0
700180,CLI00197,Low,2024-10-31,2025-11-02,2025-11-02,Completed-OnTime,True,False,0.0
700181,CLI01501,Low,2024-10-31,2025-11-02,2025-10-28,Completed-OnTime,True,False,0.0
700182,CLI03013,High,2024-10-31,2025-11-04,2025-11-04,Completed-OnTime,True,False,0.0
700183,CLI02086,Medium,2024-10-31,2025-11-03,2025-10-30,Completed-OnTime,False,False,0.0
700184,CLI02335,Low,2024-10-31,2025-11-03,2025-11-02,Completed-OnTime,True,False,0.0
700185,CLI03046,Low,2024-10-31,2025-11-02,2025-11-01,Completed-OnTime,True,False,0.0
700186,CLI01632,Low,2024-10-31,2025-10-31,2025-10-26,Completed-OnTime,True,False,0.0
700187,CLI03886,Medium,2024-10-31,2025-11-03,2025-11-01,Completed-OnTime,True,False,0.0
700188,CLI03441,Medium,2024-10-31,2025-10-31,2025-10-27,Completed-OnTime,True,False,0.0
700189,CLI03152,High,2024-10-31,2025-11-01,2025-11-01,Completed-OnTime,True,False,0.0
700190,CLI02407,Medium,2024-10-31,2025-11-04,2025-11-02,Completed-OnTime,True,False,0.0
700191,CLI03993,Medium,2024-10-31,2025-11-01,2025-10-29,Completed-OnTime,True,False,0.0
700192,CLI01252,Low,2024-10-31,2025-11-04,2025-10-31,Completed-OnTime,True,False,0.0
700193,CLI01388,Medium,2024-10-31,2025-11-03,2025-11-02,Completed-OnTime,True,False,0.0
700194,CLI03291,Low,2024-10-31,2025-11-04,2025-11-04,Completed-OnTime,True,False,0.0
700195,CLI00005,Low,2024-10-31,2025-11-02,2025-10-28,Completed-OnTime,True,False,0.0
700196,CLI01902,Medium,2024-10-31,2025-11-02,2025-11-02,Completed-OnTime,True,False,0.0
700197,CLI00764,Medium,2024-10-31,2025-11-01,,Open,True,True,
700198,CLI01887,Medium,2024-10-31,2025-10-31,2025-10-29,Completed-OnTime,True,False,0.0
700199,CLI01040,Low,2024-10-31,2025-11-02,,Open,False,True,
700200,CLI03728,Low,2024-10-31,2025-11-03,,Open,True,True,
700201,CLI03400,Low,2024-10-31,2025-11-04,2025-11-04,Completed-OnTime,True,False,0.0
700202,CLI02451,Low,2024-10-31,2025-11-02,2025-11-02,Completed-OnTime,True,False,0.0
700203,CLI00462,High,2024-10-31,2025-11-04,2025-11-02,Completed-OnTime,True,False,0.0
700204,CLI02470,Low,2024-10-31,2025-11-03,2025-10-31,Completed-OnTime,True,False,0.0
700205,CLI02635,Medium,2024-10-31,2025-11-04,2025-10-31,Completed-OnTime,True,False,0.0
700206,CLI00134,Low,2024-10-31,2025-11-03,2025-10-30,Completed-OnTime,True,False,0.0
700207,CLI01186,High,2024-10-31,2025-10-31,2025-10-29,Completed-OnTime,True,False,0.0
700208,CLI01787,Medium,2024-10-31,2025-10-31,2025-10-31,Completed-OnTime,True,False,0.0
700209,CLI03779,Medium,2024-10-31,2025-11-02,2025-10-28,Completed-OnTime,True,False,0.0
700210,CLI00875,Medium,2024-10-31,2025-11-04,2025-10-31,Completed-OnTime,True,False,0.0
700211,CLI02928,Medium,2024-10-31,2025-11-04,2025-10-30,Completed-OnTime,True,False,0.0
700212,CLI03369,Low,2024-10-31,2025-10-31,2025-10-27,Completed-OnTime,False,False,0.0
700213,CLI01316,High,2024-10-31,2025-11-01,2025-10-29,Completed-OnTime,True,False,0.0
700214,CLI00925,High,2024-10-31,2025-10-31,2025-10-30,Completed-OnTime,True,False,0.0
700215,CLI00269,Low,2024-10-31,2025-11-03,2025-11-03,Completed-OnTime,True,False,0.0
700216,CLI00809,Medium,2024-10-31,2025-11-02,2025-11-01,Completed-OnTime,True,False,0.0
700217,CLI03599,Low,2024-10-31,2025-11-04,2025-11-03,Completed-OnTime,True,False,0.0
700218,CLI02039,Low,2024-10-31,2025-11-01,2025-10-28,Completed-OnTime,True,False,0.0
700219,CLI00178,Low,2024-10-31,2025-10-31,2025-10-26,Completed-OnTime,True,False,0.0
700220,CLI02850,Low,2024-10-31,2025-10-31,2025-10-27,Completed-OnTime,True,False,0.0
700221,CLI02984,Low,2024-10-31,2025-11-01,2025-10-31,Completed-OnTime,True,False,0.0
700222,CLI03166,High,2024-10-31,2025-11-04,2025-10-30,Completed-OnTime,True,False,0.0
700223,CLI01490,Medium,2024-10-31,2025-11-01,2025-10-27,Completed-OnTime,True,False,0.0
700224,CLI01812,Low,2024-10-31,2025-10-31,2025-10-27,Completed-OnTime,True,False,0.0
700225,CLI02889,Low,2024-10-31,2025-11-02,2025-10-28,Completed-OnTime,True,False,0.0
700226,CLI02202,Low,2024-10-31,2025-11-04,2025-11-01,Completed-OnTime,True,False,0.0
700227,CLI01669,Low,2024-10-31,2025-11-02,2025-10-30,Completed-OnTime,True,False,0.0
700228,CLI03282,Medium,2024-10-31,2025-11-04,2025-11-01,Completed-OnTime,True,False,0.0
700229,CLI01329,Low,2024-10-31,2025-11-03,2025-11-01,Completed-OnTime,True,False,0.0
700230,CLI03863,Medium,2024-10-31,2025-11-03,2025-11-03,Completed-OnTime,True,False,0.0
700231,CLI01948,Medium,2024-10-31,2025-11-04,2025-11-01,Completed-OnTime,True,False,0.0
700232,CLI03310,Medium,2024-10-31,2025-10-31,2025-10-31,Completed-OnTime,True,False,0.0
700233,CLI00402,Low,2024-10-31,2025-11-01,2025-10-31,Completed-OnTime,True,False,0.0
700234,CLI03613,Low,2024-10-31,2025-11-04,2025-11-03,Completed-OnTime,True,False,0.0
700235,CLI02930,Low,2024-10-31,2025-11-02,2025-10-28,Completed-OnTime,True,False,0.0
700236,CLI00666,Medium,2024-10-31,2025-11-03,2025-10-31,Completed-OnTime,True,False,0.0
700237,CLI00144,Medium,2024-10-31,2025-11-03,2025-11-02,Completed-OnTime,True,False,0.0
700238,CLI00453,Low,2024-10-31,2025-10-31,2025-10-27,Completed-OnTime,True,False,0.0
700239,CLI03265,High,2024-10-31,2025-11-04,2025-11-03,Completed-OnTime,True,False,0.0
700240,CLI03723,Low,2024-10-31,2025-11-04,2025-11-04,Completed-OnTime,True,False,0.0
700241,CLI03048,Low,2024-10-31,2025-11-04,2025-10-31,Completed-OnTime,True,False,0.0
700242,CLI01834,Medium,2024-10-31,2025-10-31,2025-10-28,Completed-OnTime,True,False,0.0
700243,CLI03674,Medium,2024-10-31,2025-10-31,2025-10-29,Completed-OnTime,True,False,0.0
700244,CLI03222,Medium,2024-10-31,2025-10-31,2025-10-29,Completed-OnTime,True,False,0.0
700245,CLI02486,Low,2024-10-31,2025-11-04,2025-11-01,Completed-OnTime,True,False,0.0
700246,CLI01694,Medium,2024-10-31,2025-11-02,2025-10-31,Completed-OnTime,True,False,0.0
700247,CLI02085,Medium,2024-10-31,2025-11-03,2025-11-02,Completed-OnTime,True,False,0.0
700248,CLI02321,Low,2024-10-31,2025-11-04,2025-11-03,Completed-OnTime,True,False,0.0
700249,CLI03635,Low,2024-10-31,2025-11-01,2025-11-01,Completed-OnTime,True,False,0.0
700250,CLI02568,Low,2024-10-31,2025-11-01,2025-10-29,Completed-OnTime,True,False,0.0
700251,CLI00620,Low,2024-10-31,2025-11-01,2025-10-27,Completed-OnTime,True,False,0.0
700252,CLI03593,Low,2024-10-31,2025-11-01,2025-10-28,Completed-OnTime,True,False,0.0
700253,CLI00515,Medium,2024-10-31,2025-11-03,2025-10-29,Completed-OnTime,True,False,0.0
700254,CLI02697,Medium,2024-10-31,2025-10-31,2025-10-31,Completed-OnTime,True,False,0.0
700255,CLI00756,Low,2024-10-31,2025-11-04,2025-10-30,Completed-OnTime,True,False,0.0
700256,CLI03669,Low,2024-10-31,2025-11-04,2025-11-04,Completed-OnTime,True,False,0.0
700257,CLI03619,High,2024-10-31,2025-11-04,2025-10-30,Completed-OnTime,True,False,0.0
700258,CLI00248,Low,2024-10-31,2025-11-03,2025-10-30,Completed-OnTime,True,False,0.0
700259,CLI02578,Medium,2024-10-31,2025-11-04,2025-11-01,Completed-OnTime,True,False,0.0
700260,CLI03121,Low,2024-10-31,2025-11-02,2025-11-01,Completed-OnTime,True,False,0.0
700261,CLI02765,Low,2024-10-31,2025-11-04,2025-11-02,Completed-OnTime,True,False,0.0
700262,CLI03130,Medium,2024-10-31,2025-10-31,2025-11-14,Completed-Late,True,False,14.0
700263,CLI01053,High,2024-10-31,2025-10-31,2025-10-31,Completed-OnTime,True,False,0.0
700264,CLI02186,Medium,2024-10-31,2025-11-03,2025-11-03,Completed-OnTime,True,False,0.0
700265,CLI02107,High,2024-10-31,2025-11-01,2025-10-29,Completed-OnTime,True,False,0.0
700266,CLI03400,Medium,2024-10-31,2025-11-03,2025-10-31,Completed-OnTime,True,False,0.0
700267,CLI01682,Low,2024-10-31,2025-10-31,2025-10-30,Completed-OnTime,True,False,0.0
700268,CLI00131,High,2024-10-31,2025-11-02,2025-10-31,Completed-OnTime,True,False,0.0
700269,CLI03261,Medium,2024-10-31,2025-10-31,2025-10-28,Completed-OnTime,True,False,0.0
700270,CLI00835,Medium,2024-10-31,2025-10-31,2025-10-26,Completed-OnTime,True,False,0.0
700271,CLI03191,Low,2024-10-31,2025-11-04,2025-11-04,Completed-OnTime,True,False,0.0
700272,CLI01733,Medium,2024-10-31,2025-10-31,2025-10-26,Completed-OnTime,False,False,0.0
700273,CLI02719,High,2024-10-31,2025-11-04,2025-11-26,Completed-Late,True,False,22.0
700274,CLI03452,Low,2024-10-31,2025-10-31,2025-10-26,Completed-OnTime,True,False,0.0
700275,CLI01310,High,2024-10-31,2025-11-04,2025-11-02,Completed-OnTime,True,False,0.0
700276,CLI01753,Low,2024-10-31,2025-11-01,2025-10-31,Completed-OnTime,True,False,0.0
700277,CLI03715,Low,2024-10-31,2025-11-04,2025-11-04,Completed-OnTime,True,False,0.0
700278,CLI01344,Low,2024-10-31,2025-10-31,2025-10-27,Completed-OnTime,True,False,0.0
