trade_id,trade_date,account_id,client_segment,security_id,asset_class,side,quantity,execution_price,benchmark_price,order_block_id,allocation_pct,desk,trader_id,execution_timestamp,allocation_timestamp,dq_flag_null_required_field,dq_flag_out_of_range,allocation_lag_minutes,price_dev_bps
100011,2025-09-01,ACC00633,Institutional,SEC0081,Derivative,BUY,15597.0,361.2465,361.2762,BLK33337,0.7686,Fixed Income,TR011,2025-09-01 09:05:00,2025-09-01 09:10:00,False,False,5.0,-0.8220857061713773
100012,2025-09-01,ACC00086,Institutional,SEC0260,Bond,SELL,3617.0,429.65,429.741,BLK33337,0.1908,Multi-Asset,TR015,2025-09-01 12:25:00,2025-09-01 12:30:00,False,False,5.0,-2.1175545270292617
100013,2025-09-01,ACC00270,HNW,SEC0370,Equity,SELL,928.0,252.0915,252.0555,BLK33337,0.0504,Multi-Asset,TR005,2025-09-01 13:06:00,2025-09-01 13:28:00,False,False,22.0,1.4282568719984832
100014,2025-09-01,ACC00604,Retail-Advisory,SEC0196,Equity,SELL,11859.0,21.1653,21.1739,BLK33338,0.4944,Alternatives,TR012,2025-09-01 11:46:00,2025-09-01 11:55:00,False,False,9.0,-4.061604144725948
100015,2025-09-01,ACC00009,Family Office,SEC0358,Bond,SELL,9522.0,140.7947,140.8181,BLK33338,0.4017,Fixed Income,TR020,2025-09-01 14:25:00,2025-09-01 14:36:00,False,False,11.0,-1.6617182024172314
100016,2025-09-01,ACC00553,HNW,SEC0366,Bond,BUY,2260.0,339.4357,339.3976,BLK33338,0.0952,Multi-Asset,TR003,2025-09-01 13:42:00,2025-09-01 13:52:00,False,False,10.0,1.122577177917163
100017,2025-09-01,ACC00560,HNW,SEC0206,Equity,BUY,11141.0,191.8162,191.7519,BLK33339,0.3673,Alternatives,TR007,2025-09-01 14:18:00,2025-09-01 14:36:00,False,False,18.0,3.3532914145832664
100018,2025-09-01,ACC00201,Institutional,SEC0357,ETF,BUY,3375.0,31.9898,32.0062,BLK33339,0.1169,Alternatives,TR022,2025-09-01 09:52:00,2025-09-01 10:15:00,False,False,23.0,-5.124007223600695
100019,2025-09-01,ACC00853,Retail-Advisory,SEC0097,Equity,BUY,15463.0,334.2713,334.214,BLK33339,0.5151,Equity,TR023,2025-09-01 13:44:00,2025-09-01 13:46:00,False,False,2.0,1.7144703692842882
100020,2025-09-01,ACC00449,HNW,SEC0200,ETF,SELL,3150.0,97.7982,97.8415,BLK33340,0.1395,Equity,TR024,2025-09-01 10:18:00,2025-09-01 10:28:00,False,False,10.0,-4.425524956179342
100021,2025-09-01,ACC00375,HNW,SEC0080,Equity,BUY,4670.0,74.5317,74.5929,BLK33340,0.2,Fixed Income,TR014,2025-09-01 10:29:00,2025-09-01 10:50:00,False,False,21.0,-8.204534211701043
100022,2025-09-01,ACC00458,Family Office,SEC0265,ETF,BUY,14805.0,74.2328,74.2183,BLK33340,0.601,Alternatives,TR012,2025-09-01 09:23:00,2025-09-01 09:28:00,False,False,5.0,1.953696056093737
100023,2025-09-01,ACC00006,Family Office,SEC0386,Equity,SELL,18503.0,22.1828,22.1812,BLK33341,0.35,Fixed Income,TR011,2025-09-01 14:06:00,2025-09-01 14:27:00,False,False,21.0,0.7213315780930806
100024,2025-09-01,ACC00417,Retail-Advisory,SEC0093,ETF,SELL,16106.0,239.0472,239.017,BLK33341,0.326,Equity,TR020,2025-09-01 12:06:00,2025-09-01 12:14:00,False,False,8.0,1.263508453373935
100025,2025-09-01,ACC00478,Retail-Advisory,SEC0099,Bond,SELL,17368.0,305.4153,305.5225,BLK33341,0.3185,Fixed Income,TR011,2025-09-01 09:38:00,2025-09-01 09:47:00,False,False,9.0,-3.508743218583821
100026,2025-09-01,ACC00831,HNW,SEC0058,ETF,SELL,16349.0,61.5772,61.5863,BLK33342,0.569,Fixed Income,TR008,2025-09-01 11:08:00,2025-09-01 11:18:00,False,False,10.0,-1.4776013496514095
100027,2025-09-01,ACC00386,Family Office,SEC0236,Equity,BUY,5765.0,85.2625,85.2706,BLK33342,0.202,Alternatives,TR002,2025-09-01 13:03:00,2025-09-01 13:26:00,False,False,23.0,-0.9499170874837148
100028,2025-09-01,ACC00206,Retail-Advisory,SEC0100,Equity,SELL,6428.0,257.1437,257.2179,BLK33342,0.2222,Multi-Asset,TR006,2025-09-01 12:02:00,2025-09-01 12:27:00,False,False,25.0,-2.8847136999393155
100029,2025-09-01,ACC00620,Retail-Advisory,SEC0040,Equity,BUY,1080.0,192.985,193.0709,BLK33343,0.0396,Multi-Asset,TR023,2025-09-01 09:49:00,2025-09-01 10:01:00,False,False,12.0,-4.449142776046571
100030,2025-09-01,ACC00291,Family Office,SEC0206,ETF,BUY,19593.0,403.0012,402.9927,BLK33343,0.684,Alternatives,TR013,2025-09-01 12:45:00,2025-09-01 13:08:00,False,False,23.0,0.21092193481344776
100031,2025-09-01,ACC00305,Family Office,SEC0147,Bond,SELL,7763.0,323.3379,323.386,BLK33343,0.275,Alternatives,TR006,2025-09-01 11:28:00,2025-09-01 11:45:00,False,False,17.0,-1.4873865906388513
100032,2025-09-01,ACC00414,Institutional,SEC0214,Equity,BUY,7651.0,346.1941,346.0142,BLK33344,0.3047,Multi-Asset,TR008,2025-09-01 13:54:00,2025-09-01 14:16:00,False,False,22.0,5.199208587392514
100033,2025-09-01,ACC00453,Family Office,SEC0344,Bond,BUY,16107.0,270.9583,271.0339,BLK33344,0.6136,Alternatives,TR017,2025-09-01 10:43:00,2025-09-01 11:00:00,False,False,17.0,-2.789318974490222
100034,2025-09-01,ACC00366,HNW,SEC0237,Bond,SELL,1992.0,365.3708,365.6007,BLK33344,0.0742,Alternatives,TR020,2025-09-01 13:08:00,2025-09-01 13:14:00,False,False,6.0,-6.2882811767057145
100035,2025-09-01,ACC00008,Family Office,SEC0229,ETF,SELL,18925.0,134.1218,134.1578,BLK33345,0.3778,Fixed Income,TR014,2025-09-01 12:36:00,2025-09-01 12:41:00,False,False,5.0,-2.683407151876474
100036,2025-09-01,ACC00649,Institutional,SEC0035,Bond,SELL,15302.0,401.2984,401.6299,BLK33345,0.317,Fixed Income,TR003,2025-09-01 09:54:00,2025-09-01 10:16:00,False,False,22.0,-8.253867553187785
100037,2025-09-01,ACC00479,Retail-Advisory,SEC0126,Equity,SELL,15508.0,338.935,338.9034,BLK33345,0.247,Fixed Income,TR009,2025-09-01 13:44:00,2025-09-01 14:06:00,False,False,22.0,0.9324190905144603
100038,2025-09-01,ACC00551,HNW,SEC0192,Equity,BUY,18728.0,224.7061,224.573,BLK33346,0.3721,Fixed Income,TR019,2025-09-01 10:32:00,2025-09-01 10:43:00,False,False,11.0,5.926803311172076
100039,2025-09-01,ACC00030,Institutional,SEC0274,Derivative,BUY,14383.0,476.5287,476.0854,BLK33346,0.2905,Equity,TR015,2025-09-01 14:37:00,2025-09-01 14:51:00,False,False,14.0,9.3113546435161
100040,2025-09-01,ACC00490,HNW,SEC0045,Bond,SELL,16525.0,154.6768,154.7259,BLK33346,0.3242,Multi-Asset,TR019,2025-09-01 09:17:00,2025-09-01 09:38:00,False,False,21.0,-3.1733536531382214
100041,2025-09-01,ACC00222,Family Office,SEC0097,ETF,SELL,5749.0,420.1025,420.0793,BLK33347,0.5305,Fixed Income,TR001,2025-09-01 12:05:00,2025-09-01 12:29:00,False,False,24.0,0.5522766772852459
100042,2025-09-01,ACC00882,HNW,SEC0320,ETF,SELL,4044.0,456.1642,456.2127,BLK33347,0.369,Fixed Income,TR015,2025-09-01 09:00:00,2025-09-01 09:23:00,False,False,23.0,-1.0631006107456016
100043,2025-09-01,ACC00411,HNW,SEC0081,ETF,BUY,1238.0,402.5041,402.4723,BLK33347,0.1117,Alternatives,TR001,2025-09-01 14:41:00,2025-09-01 14:54:00,False,False,13.0,0.7901164875191565
100044,2025-09-01,ACC00090,HNW,SEC0284,Bond,SELL,14929.0,318.63,318.7058,BLK33348,0.4712,Equity,TR007,2025-09-01 13:43:00,2025-09-01 13:45:00,False,False,2.0,-2.3783690161903293
100045,2025-09-01,ACC00693,Family Office,SEC0074,Bond,SELL,1184.0,311.975,311.9914,BLK33348,0.0356,Multi-Asset,TR003,2025-09-01 11:41:00,2025-09-01 11:52:00,False,False,11.0,-0.5256555148627812
100046,2025-09-01,ACC00484,Family Office,SEC0280,Bond,SELL,15703.0,321.8867,321.8401,BLK33348,0.4875,Fixed Income,TR014,2025-09-01 10:55:00,2025-09-01 11:07:00,False,False,12.0,1.447923984612613
100047,2025-09-01,ACC00084,Retail-Advisory,SEC0122,ETF,BUY,3053.0,259.295,259.0928,BLK33349,0.109,Fixed Income,TR007,2025-09-01 09:07:00,2025-09-01 09:33:00,False,False,26.0,7.804153569686414
100048,2025-09-01,ACC00269,Institutional,SEC0167,Bond,BUY,12729.0,211.6526,211.7873,BLK33349,0.4732,Multi-Asset,TR001,2025-09-01 14:34:00,2025-09-01 14:59:00,False,False,25.0,-6.360154740155852
100049,2025-09-01,ACC00309,Institutional,SEC0220,Equity,BUY,11491.0,287.1955,287.2282,BLK33349,0.4215,Fixed Income,TR019,2025-09-01 12:38:00,2025-09-01 12:46:00,False,False,8.0,-1.1384676017199538
100050,2025-09-01,ACC00242,Institutional,SEC0320,Bond,SELL,7277.0,261.2518,261.2422,BLK33350,0.4155,Equity,TR013,2025-09-01 09:54:00,2025-09-01 10:15:00,False,False,21.0,0.3674750863366495
100051,2025-09-01,ACC00439,Institutional,SEC0070,ETF,BUY,9933.0,66.7988,66.7698,BLK33350,0.6002,Equity,TR009,2025-09-01 13:03:00,2025-09-01 13:19:00,False,False,16.0,4.343280944378501
100052,2025-09-01,ACC00457,Institutional,SEC0146,ETF,SELL,392.0,415.5416,415.315,BLK33350,0.0273,Multi-Asset,TR003,2025-09-01 13:09:00,2025-09-01 13:28:00,False,False,19.0,5.456099587060883
100053,2025-09-01,ACC00607,Family Office,SEC0084,Derivative,BUY,15464.0,162.2697,162.3711,BLK33351,0.4517,Multi-Asset,TR001,2025-09-01 13:22:00,2025-09-01 13:32:00,False,False,10.0,-6.24495368941963
100054,2025-09-01,ACC00453,Retail-Advisory,SEC0179,Equity,SELL,3401.0,419.6262,419.7891,BLK33351,0.1049,Alternatives,TR004,2025-09-01 10:49:00,2025-09-01 11:07:00,False,False,18.0,-3.8805200039742815
100055,2025-09-01,ACC00569,Institutional,SEC0093,Equity,SELL,15131.0,222.5195,222.5517,BLK33351,0.4461,Alternatives,TR002,2025-09-01 10:10:00,2025-09-01 10:36:00,False,False,26.0,-1.4468548207008676
100056,2025-09-01,ACC00366,Institutional,SEC0268,Bond,SELL,11770.0,251.5423,251.7121,BLK33352,0.32,Equity,TR016,2025-09-01 14:49:00,2025-09-01 15:05:00,False,False,16.0,-6.745802049245183
100057,2025-09-01,ACC00333,Family Office,SEC0202,Equity,SELL,7395.0,274.4107,274.3684,BLK33352,0.2086,Alternatives,TR021,2025-09-01 10:28:00,2025-09-01 10:47:00,False,False,19.0,1.5417227348343159
100058,2025-09-01,ACC00566,Family Office,SEC0252,Bond,BUY,17020.0,176.8531,176.8895,BLK33352,0.4761,Fixed Income,TR023,2025-09-01 12:06:00,2025-09-01 12:33:00,False,False,27.0,-2.057781835551925
100059,2025-09-01,ACC00374,HNW,SEC0111,Equity,BUY,3912.0,22.1682,22.1633,BLK33353,0.0927,Fixed Income,TR001,2025-09-01 11:18:00,2025-09-01 11:34:00,False,False,16.0,2.210862100860088
100060,2025-09-01,ACC00561,Retail-Advisory,SEC0313,Bond,SELL,19637.0,313.9436,313.9753,BLK33353,0.5077,Equity,TR024,2025-09-01 12:53:00,2025-09-01 13:02:00,False,False,9.0,-1.0096335603469677
100061,2025-09-01,ACC00739,Family Office,SEC0293,Equity,SELL,14675.0,225.6648,225.6435,BLK33353,0.3785,Fixed Income,TR007,2025-09-01 11:57:00,2025-09-01 12:03:00,False,False,6.0,0.9439669212729357
100062,2025-09-02,ACC00585,HNW,SEC0034,Equity,SELL,15569.0,249.9771,249.9529,BLK33354,0.3305,Equity,TR020,2025-09-02 10:57:00,2025-09-02 11:00:00,False,False,3.0,0.9681824055655105
100063,2025-09-02,ACC00686,Retail-Advisory,SEC0285,ETF,BUY,18501.0,412.7872,413.0657,BLK33354,0.3739,Equity,TR017,2025-09-02 14:02:00,2025-09-02 14:28:00,False,False,26.0,-6.7422688448837125
100064,2025-09-02,ACC00856,Family Office,SEC0206,ETF,SELL,14814.0,402.3283,402.4271,BLK33354,0.2921,Multi-Asset,TR001,2025-09-02 09:36:00,2025-09-02 09:49:00,False,False,13.0,-2.4551030484771754
100065,2025-09-02,ACC00812,Retail-Advisory,SEC0120,Equity,SELL,8086.0,448.6743,448.8611,BLK33355,0.4834,Fixed Income,TR021,2025-09-02 11:50:00,2025-09-02 12:12:00,False,False,22.0,-4.161643769085919
100066,2025-09-02,ACC00480,Retail-Advisory,SEC0399,Equity,BUY,5569.0,444.5162,444.4132,BLK33355,0.3427,Multi-Asset,TR020,2025-09-02 13:20:00,2025-09-02 13:33:00,False,False,13.0,2.317662931704293
100067,2025-09-02,ACC00198,Institutional,SEC0199,Equity,SELL,2822.0,291.5389,291.6872,BLK33355,0.1673,Multi-Asset,TR022,2025-09-02 13:35:00,2025-09-02 13:49:00,False,False,14.0,-5.084213499941241
100068,2025-09-02,ACC00798,HNW,SEC0383,Equity,BUY,1436.0,108.9318,108.9697,BLK33356,0.1136,Fixed Income,TR011,2025-09-02 14:37:00,2025-09-02 14:50:00,False,False,13.0,-3.4780310489987207
100069,2025-09-02,ACC00194,Family Office,SEC0236,Bond,SELL,5762.0,449.2379,449.5284,BLK33356,0.466,Alternatives,TR018,2025-09-02 14:53:00,2025-09-02 15:20:00,False,False,27.0,-6.46232807537748
100070,2025-09-02,ACC00571,Retail-Advisory,SEC0175,Equity,SELL,4903.0,168.1814,168.0213,BLK33356,0.4105,Multi-Asset,TR019,2025-09-02 09:33:00,2025-09-02 09:50:00,False,False,17.0,9.528553820259688
100071,2025-09-02,ACC00385,Institutional,SEC0261,Derivative,SELL,13524.0,409.1015,409.1728,BLK33357,0.5843,Alternatives,TR003,2025-09-02 11:10:00,2025-09-02 11:20:00,False,False,10.0,-1.7425400710899628
100072,2025-09-02,ACC00886,Family Office,SEC0182,Bond,SELL,8716.0,27.5538,27.5629,BLK33357,0.3746,Fixed Income,TR002,2025-09-02 10:02:00,2025-09-02 10:18:00,False,False,16.0,-3.301539388090552
100073,2025-09-02,ACC00441,Retail-Advisory,SEC0158,Equity,BUY,1114.0,64.7113,64.6842,BLK33357,0.0421,Fixed Income,TR008,2025-09-02 14:41:00,2025-09-02 15:08:00,False,False,27.0,4.18958571026466
100074,2025-09-02,ACC00702,Institutional,SEC0187,Equity,BUY,2330.0,430.1298,432.7546,BLK33358,0.0847,Equity,TR014,2025-09-02 11:01:00,2025-09-02 11:11:00,False,False,10.0,-60.653312524003056
100075,2025-09-02,ACC00044,Retail-Advisory,SEC0198,Equity,BUY,11989.0,245.2764,245.1331,BLK33358,0.45,Alternatives,TR012,2025-09-02 10:43:00,2025-09-02 10:53:00,False,False,10.0,5.845803769461661
100076,2025-09-02,ACC00100,Family Office,SEC0282,Equity,SELL,12111.0,77.7255,77.7206,BLK33358,0.4567,Fixed Income,TR004,2025-09-02 09:55:00,2025-09-02 10:01:00,False,False,6.0,0.6304634807235319
100077,2025-09-02,ACC00895,Institutional,SEC0342,Bond,BUY,4691.0,429.9856,426.2233,BLK33359,0.2269,Multi-Asset,TR019,2025-09-02 12:36:00,2025-09-02 13:01:00,False,False,25.0,88.27063184954886
100078,2025-09-02,ACC00102,Institutional,SEC0240,ETF,SELL,9143.0,305.8169,305.678,BLK33359,0.4453,Fixed Income,TR020,2025-09-02 13:47:00,2025-09-02 14:03:00,False,False,16.0,4.543997278180905
100079,2025-09-02,ACC00760,HNW,SEC0283,Equity,SELL,6420.0,48.2387,48.2731,BLK33359,0.3168,Fixed Income,TR018,2025-09-02 11:01:00,2025-09-02 11:20:00,False,False,19.0,-7.1261220016941085
100080,2025-09-02,ACC00110,Retail-Advisory,SEC0396,Equity,BUY,17811.0,301.0014,300.977,BLK33360,0.4168,Fixed Income,TR013,2025-09-02 13:40:00,2025-09-02 14:02:00,False,False,22.0,0.810693175890988
100081,2025-09-02,ACC00164,HNW,SEC0110,Equity,SELL,19862.0,296.5025,296.473,BLK33360,0.4483,Fixed Income,TR015,2025-09-02 09:51:00,2025-09-02 09:57:00,False,False,6.0,0.9950315880361631
100082,2025-09-02,ACC00755,HNW,SEC0102,Bond,BUY,5965.0,335.1579,335.1743,BLK33360,0.1379,Multi-Asset,TR021,2025-09-02 09:35:00,2025-09-02 09:59:00,False,False,24.0,-0.4892976579658056
100083,2025-09-02,ACC00831,Retail-Advisory,SEC0206,Bond,SELL,7983.0,342.1847,342.0342,BLK33361,0.2309,Multi-Asset,TR011,2025-09-02 10:44:00,2025-09-02 10:49:00,False,False,5.0,4.4001447808442045
100084,2025-09-02,ACC00324,HNW,SEC0384,ETF,BUY,10452.0,209.9272,209.9011,BLK33361,0.2942,Alternatives,TR004,2025-09-02 12:23:00,2025-09-02 12:37:00,False,False,14.0,1.243442745177865
100085,2025-09-02,ACC00372,HNW,SEC0207,Equity,SELL,17193.0,456.7784,457.1655,BLK33361,0.4834,Fixed Income,TR010,2025-09-02 14:43:00,2025-09-02 15:01:00,False,False,18.0,-8.467393099436247
100086,2025-09-02,ACC00003,Retail-Advisory,SEC0082,ETF,SELL,15680.0,289.2237,289.2676,BLK33362,0.2856,Equity,TR003,2025-09-02 13:51:00,2025-09-02 14:06:00,False,False,15.0,-1.5176258938093246
100087,2025-09-02,ACC00514,Retail-Advisory,SEC0232,Equity,BUY,19586.0,194.7936,194.8009,BLK33362,0.3677,Fixed Income,TR015,2025-09-02 12:23:00,2025-09-02 12:34:00,False,False,11.0,-0.37474159513713545
100088,2025-09-02,ACC00277,Institutional,SEC0274,Bond,SELL,18714.0,239.1467,239.1437,BLK33362,0.3531,Fixed Income,TR004,2025-09-02 11:23:00,2025-09-02 11:33:00,False,False,10.0,0.1254475865353896
100089,2025-09-02,ACC00431,Institutional,SEC0209,Derivative,SELL,4947.0,58.475,58.473,BLK33363,0.2143,Equity,TR005,2025-09-02 11:16:00,2025-09-02 11:43:00,False,False,27.0,0.3420382056679911
100090,2025-09-02,ACC00122,Institutional,SEC0118,Equity,BUY,998.0,245.937,245.9308,BLK33363,0.0452,Equity,TR007,2025-09-02 13:29:00,2025-09-02 13:37:00,False,False,8.0,0.2521034372273366
100091,2025-09-02,ACC00200,Family Office,SEC0221,ETF,SELL,18042.0,492.2078,492.4386,BLK33363,0.7499,Fixed Income,TR008,2025-09-02 12:04:00,2025-09-02 12:30:00,False,False,26.0,-4.686878729652547
100092,2025-09-02,ACC00472,HNW,SEC0294,ETF,SELL,12373.0,275.7629,275.7586,BLK33364,0.5109,Fixed Income,TR015,2025-09-02 11:09:00,2025-09-02 11:20:00,False,False,11.0,0.15593348675256677
100093,2025-09-02,ACC00654,Institutional,SEC0041,Equity,SELL,8156.0,382.6502,382.4073,BLK33364,0.3314,Multi-Asset,TR022,2025-09-02 12:55:00,2025-09-02 13:03:00,False,False,8.0,6.351866190837969
100094,2025-09-02,ACC00672,Institutional,SEC0136,ETF,SELL,3671.0,212.5954,212.6483,BLK33364,0.1526,Fixed Income,TR021,2025-09-02 14:41:00,2025-09-02 14:57:00,False,False,16.0,-2.4876756597628082
100095,2025-09-02,ACC00406,Retail-Advisory,SEC0212,Equity,BUY,4971.0,89.0187,89.0145,BLK33365,0.4912,Multi-Asset,TR012,2025-09-02 09:45:00,2025-09-02 09:54:00,False,False,9.0,0.4718332406515025
100096,2025-09-02,ACC00863,Retail-Advisory,SEC0083,Equity,BUY,2721.0,71.6087,71.5753,BLK33365,0.2706,Fixed Income,TR014,2025-09-02 14:56:00,2025-09-02 15:07:00,False,False,11.0,4.666414251843907
100097,2025-09-02,ACC00594,Institutional,SEC0075,Equity,BUY,2467.0,459.3459,459.2557,BLK33365,0.2508,Equity,TR013,2025-09-02 09:27:00,2025-09-02 09:42:00,False,False,15.0,1.9640474794320817
100098,2025-09-02,ACC00052,Family Office,SEC0317,ETF,SELL,14858.0,239.7379,239.6921,BLK33366,0.4449,Alternatives,TR009,2025-09-02 13:20:00,2025-09-02 13:46:00,False,False,26.0,1.9107847108847404
100099,2025-09-02,ACC00253,Retail-Advisory,SEC0113,ETF,SELL,15893.0,113.8122,113.8578,BLK33366,0.4712,Multi-Asset,TR024,2025-09-02 10:37:00,2025-09-02 13:09:00,False,False,152.0,-4.004995705168483
100100,2025-09-02,ACC00647,HNW,SEC0184,Bond,SELL,2667.0,84.6477,84.6401,BLK33366,0.0788,Alternatives,TR018,2025-09-02 09:54:00,2025-09-02 10:06:00,False,False,12.0,0.8979195440454937
100101,2025-09-02,ACC00889,Retail-Advisory,SEC0180,Bond,BUY,9508.0,475.5736,475.5299,BLK33367,0.1907,Fixed Income,TR001,2025-09-02 09:40:00,2025-09-02 09:57:00,False,False,17.0,0.9189748110476582
100102,2025-09-02,ACC00355,Family Office,SEC0161,ETF,BUY,19836.0,270.487,270.3928,BLK33367,0.5059,Fixed Income,TR018,2025-09-02 11:55:00,2025-09-02 12:16:00,False,False,21.0,3.4838205751040974
100103,2025-09-02,ACC00233,Retail-Advisory,SEC0051,ETF,SELL,10227.0,454.4615,454.4723,BLK33367,0.2561,Alternatives,TR011,2025-09-02 11:20:00,2025-09-02 11:34:00,False,False,14.0,-0.23763824549961488
100104,2025-09-02,ACC00676,HNW,SEC0099,Bond,BUY,13144.0,334.6604,334.8258,BLK33368,0.5476,Alternatives,TR021,2025-09-02 13:11:00,2025-09-02 13:37:00,False,False,26.0,-4.939882171566042
100105,2025-09-02,ACC00491,Retail-Advisory,SEC0280,Equity,SELL,5575.0,77.9513,77.9407,BLK33368,0.2371,Alternatives,TR014,2025-09-02 14:53:00,2025-09-02 15:19:00,False,False,26.0,1.3600083140126547
100106,2025-09-02,ACC00485,Family Office,SEC0160,Bond,SELL,5176.0,316.6346,316.4843,BLK33368,0.2119,Alternatives,TR001,2025-09-02 12:23:00,2025-09-02 12:39:00,False,False,16.0,4.749050742800158
100107,2025-09-02,ACC00731,Family Office,SEC0134,Bond,BUY,8934.0,468.4304,468.6094,BLK33369,0.2712,Multi-Asset,TR016,2025-09-02 14:32:00,2025-09-02 14:45:00,False,False,13.0,-3.819812406664775
100108,2025-09-02,ACC00563,HNW,SEC0183,ETF,SELL,18485.0,423.018,423.2282,BLK33369,0.5608,Alternatives,TR012,2025-09-02 14:45:00,2025-09-02 14:49:00,False,False,4.0,-4.966587765183014
100109,2025-09-02,ACC00514,HNW,SEC0067,Bond,SELL,5857.0,136.3177,136.3261,BLK33369,0.1761,Multi-Asset,TR021,2025-09-02 10:12:00,2025-09-02 10:21:00,False,False,9.0,-0.6161696109545153
100110,2025-09-02,ACC00258,HNW,SEC0077,Equity,BUY,15970.0,421.162,421.1952,BLK33370,0.3583,Fixed Income,TR024,2025-09-02 12:06:00,2025-09-02 12:19:00,False,False,13.0,-0.7882331042714187
100111,2025-09-02,ACC00429,HNW,SEC0354,Equity,BUY,12431.0,467.1669,467.1214,BLK33370,0.2695,Alternatives,TR007,2025-09-02 14:08:00,2025-09-02 14:16:00,False,False,8.0,0.9740508570149878
100112,2025-09-02,ACC00002,Retail-Advisory,SEC0396,Equity,SELL,16667.0,96.3916,96.4146,BLK33370,0.3683,Equity,TR016,2025-09-02 10:29:00,2025-09-02 10:51:00,False,False,22.0,-2.385530822095008
100113,2025-09-02,ACC00332,Family Office,SEC0269,Bond,BUY,1994.0,366.8253,366.6432,BLK33371,0.0911,Equity,TR002,2025-09-02 10:27:00,2025-09-02 10:34:00,False,False,7.0,4.966681503981204
100114,2025-09-02,ACC00200,Institutional,SEC0357,ETF,SELL,16659.0,412.5417,412.4031,BLK33371,0.8093,Alternatives,TR012,2025-09-02 10:44:00,2025-09-02 10:50:00,False,False,6.0,3.360789480001405
100115,2025-09-02,ACC00765,HNW,SEC0310,ETF,SELL,2012.0,85.1938,85.2275,BLK33371,0.0825,Fixed Income,TR011,2025-09-02 12:03:00,2025-09-02 13:04:00,False,False,61.0,-3.9541227890071013
100116,2025-09-02,ACC00040,HNW,SEC0038,Bond,SELL,16480.0,92.2429,92.3204,BLK33372,0.7057,Equity,TR020,2025-09-02 10:48:00,2025-09-02 11:01:00,False,False,13.0,-8.39467766604137
100117,2025-09-02,ACC00563,Institutional,SEC0084,ETF,SELL,5223.0,378.6418,378.6412,BLK33372,0.2181,Fixed Income,TR006,2025-09-02 13:27:00,2025-09-02 13:39:00,False,False,12.0,0.01584613613001106
100118,2025-09-02,ACC00888,Family Office,SEC0261,Equity,SELL,1811.0,96.4225,96.3828,BLK33372,0.0723,Multi-Asset,TR004,2025-09-02 09:23:00,2025-09-02 09:47:00,False,False,24.0,4.118992185327288
100119,2025-09-02,ACC00227,Institutional,SEC0294,Equity,BUY,17514.0,487.7651,488.0419,BLK33373,0.3935,Equity,TR007,2025-09-02 12:13:00,2025-09-02 12:39:00,False,False,26.0,-5.671644176452476
