holding_id,portfolio_id,client_id,mandate_type,asset_class,weight_pct,guideline_min_pct,guideline_max_pct,as_of_date,within_band
1300076,PORT00026,CLI00973,Aggressive Growth,Equity,80.82,65,95,2026-08-31,True
1300077,PORT00026,CLI00973,Aggressive Growth,Bond,14.0,0,25,2026-08-31,True
1300078,PORT00026,CLI00973,Aggressive Growth,Cash,5.8,0,10,2026-08-31,True
1300079,PORT00027,CLI00153,Conservative Income,Equity,20.6,0,30,2026-08-31,True
1300080,PORT00027,CLI00153,Conservative Income,Bond,75.3,50,90,2026-08-31,True
1300081,PORT00027,CLI00153,Conservative Income,Cash,12.73,0,20,2026-08-31,True
1300082,PORT00028,CLI03127,Aggressive Growth,Equity,86.34,65,95,2026-08-31,True
1300083,PORT00028,CLI03127,Aggressive Growth,Bond,17.49,0,25,2026-08-31,True
1300084,PORT00028,CLI03127,Aggressive Growth,Cash,7.92,0,10,2026-08-31,True
1300085,PORT00029,CLI02887,Aggressive Growth,Equity,87.78,65,95,2026-08-31,True
1300086,PORT00029,CLI02887,Aggressive Growth,Bond,3.59,0,25,2026-08-31,True
1300087,PORT00029,CLI02887,Aggressive Growth,Cash,12.03,0,10,2026-08-31,False
1300088,PORT00030,CLI02195,Conservative Income,Equity,24.67,0,30,2026-08-31,True
1300089,PORT00030,CLI02195,Conservative Income,Bond,57.0,50,90,2026-08-31,True
1300090,PORT00030,CLI02195,Conservative Income,Cash,14.29,0,20,2026-08-31,True
1300091,PORT00031,CLI03459,Aggressive Growth,Equity,73.91,65,95,2026-08-31,True
1300092,PORT00031,CLI03459,Aggressive Growth,Bond,5.99,0,25,2026-08-31,True
1300093,PORT00031,CLI03459,Aggressive Growth,Cash,4.61,0,10,2026-08-31,True
1300094,PORT00032,CLI03446,Aggressive Growth,Equity,68.08,65,95,2026-08-31,True
1300095,PORT00032,CLI03446,Aggressive Growth,Bond,5.26,0,25,2026-08-31,True
1300096,PORT00032,CLI03446,Aggressive Growth,Cash,0.0,0,10,2026-08-31,True
1300097,PORT00033,CLI02305,Aggressive Growth,Equity,87.54,65,95,2026-08-31,True
1300098,PORT00033,CLI02305,Aggressive Growth,Bond,32.94,0,25,2026-08-31,False
1300099,PORT00033,CLI02305,Aggressive Growth,Cash,7.51,0,10,2026-08-31,True
1300100,PORT00034,CLI03620,Conservative Income,Equity,9.09,0,30,2026-08-31,True
1300101,PORT00034,CLI03620,Conservative Income,Bond,48.29,50,90,2026-08-31,False
1300102,PORT00034,CLI03620,Conservative Income,Cash,4.0,0,20,2026-08-31,True
1300103,PORT00035,CLI00732,Balanced Growth,Equity,44.37,40,65,2026-08-31,True
1300104,PORT00035,CLI00732,Balanced Growth,Bond,30.87,25,50,2026-08-31,True
1300105,PORT00035,CLI00732,Balanced Growth,Cash,17.21,0,15,2026-08-31,False
1300106,PORT00036,CLI01521,Fixed Income Core,Equity,7.19,0,10,2026-08-31,True
1300107,PORT00036,CLI01521,Fixed Income Core,Bond,91.0,80,100,2026-08-31,True
1300108,PORT00036,CLI01521,Fixed Income Core,Cash,4.7,0,10,2026-08-31,True
1300109,PORT00037,CLI03893,Fixed Income Core,Equity,2.7,0,10,2026-08-31,True
1300110,PORT00037,CLI03893,Fixed Income Core,Bond,93.65,80,100,2026-08-31,True
1300111,PORT00037,CLI03893,Fixed Income Core,Cash,7.48,0,10,2026-08-31,True
1300112,PORT00038,CLI01259,Aggressive Growth,Equity,89.41,65,95,2026-08-31,True
1300113,PORT00038,CLI01259,Aggressive Growth,Bond,6.29,0,25,2026-08-31,True
1300114,PORT00038,CLI01259,Aggressive Growth,Cash,3.28,0,10,2026-08-31,True
1300115,PORT00039,CLI02563,Conservative Income,Equity,6.97,0,30,2026-08-31,True
1300116,PORT00039,CLI02563,Conservative Income,Bond,58.0,50,90,2026-08-31,True
1300117,PORT00039,CLI02563,Conservative Income,Cash,8.55,0,20,2026-08-31,True
1300118,PORT00040,CLI03562,Balanced Growth,Equity,51.33,40,65,2026-08-31,True
1300119,PORT00040,CLI03562,Balanced Growth,Bond,38.51,25,50,2026-08-31,True
1300120,PORT00040,CLI03562,Balanced Growth,Cash,7.68,0,15,2026-08-31,True
1300121,PORT00041,CLI00643,Fixed Income Core,Equity,6.43,0,10,2026-08-31,True
1300122,PORT00041,CLI00643,Fixed Income Core,Bond,85.19,80,100,2026-08-31,True
1300123,PORT00041,CLI00643,Fixed Income Core,Cash,4.74,0,10,2026-08-31,True
1300124,PORT00042,CLI03450,Conservative Income,Equity,14.69,0,30,2026-08-31,True
1300125,PORT00042,CLI03450,Conservative Income,Bond,60.58,50,90,2026-08-31,True
1300126,PORT00042,CLI03450,Conservative Income,Cash,8.62,0,20,2026-08-31,True
1300127,PORT00043,CLI02272,Aggressive Growth,Equity,72.09,65,95,2026-08-31,True
1300128,PORT00043,CLI02272,Aggressive Growth,Bond,5.12,0,25,2026-08-31,True
1300129,PORT00043,CLI02272,Aggressive Growth,Cash,7.26,0,10,2026-08-31,True
1300130,PORT00044,CLI03951,Conservative Income,Equity,25.85,0,30,2026-08-31,True
1300131,PORT00044,CLI03951,Conservative Income,Bond,44.76,50,90,2026-08-31,False
1300132,PORT00044,CLI03951,Conservative Income,Cash,10.09,0,20,2026-08-31,True
1300133,PORT00045,CLI03902,Aggressive Growth,Equity,91.94,65,95,2026-08-31,True
1300134,PORT00045,CLI03902,Aggressive Growth,Bond,30.45,0,25,2026-08-31,False
1300135,PORT00045,CLI03902,Aggressive Growth,Cash,1.22,0,10,2026-08-31,True
1300136,PORT00046,CLI03985,Fixed Income Core,Equity,1.66,0,10,2026-08-31,True
1300137,PORT00046,CLI03985,Fixed Income Core,Bond,93.32,80,100,2026-08-31,True
1300138,PORT00046,CLI03985,Fixed Income Core,Cash,3.98,0,10,2026-08-31,True
1300139,PORT00047,CLI02591,Aggressive Growth,Equity,97.24,65,95,2026-08-31,False
1300140,PORT00047,CLI02591,Aggressive Growth,Bond,14.34,0,25,2026-08-31,True
1300141,PORT00047,CLI02591,Aggressive Growth,Cash,8.37,0,10,2026-08-31,True
1300142,PORT00048,CLI03454,Aggressive Growth,Equity,76.16,65,95,2026-08-31,True
1300143,PORT00048,CLI03454,Aggressive Growth,Bond,15.26,0,25,2026-08-31,True
1300144,PORT00048,CLI03454,Aggressive Growth,Cash,3.21,0,10,2026-08-31,True
1300145,PORT00049,CLI02691,Conservative Income,Equity,23.6,0,30,2026-08-31,True
1300146,PORT00049,CLI02691,Conservative Income,Bond,72.48,50,90,2026-08-31,True
1300147,PORT00049,CLI02691,Conservative Income,Cash,3.43,0,20,2026-08-31,True
1300148,PORT00050,CLI03691,Fixed Income Core,Equity,8.87,0,10,2026-08-31,True
1300149,PORT00050,CLI03691,Fixed Income Core,Bond,88.98,80,100,2026-08-31,True
1300150,PORT00050,CLI03691,Fixed Income Core,Cash,3.29,0,10,2026-08-31,True
1300151,PORT00051,CLI00569,Balanced Growth,Equity,53.84,40,65,2026-08-31,True
1300152,PORT00051,CLI00569,Balanced Growth,Bond,41.23,25,50,2026-08-31,True
1300153,PORT00051,CLI00569,Balanced Growth,Cash,5.0,0,15,2026-08-31,True
1300154,PORT00052,CLI00341,Balanced Growth,Equity,60.29,40,65,2026-08-31,True
1300155,PORT00052,CLI00341,Balanced Growth,Bond,33.95,25,50,2026-08-31,True
1300156,PORT00052,CLI00341,Balanced Growth,Cash,7.33,0,15,2026-08-31,True
1300157,PORT00053,CLI02201,Aggressive Growth,Equity,76.21,65,95,2026-08-31,True
1300158,PORT00053,CLI02201,Aggressive Growth,Bond,30.37,0,25,2026-08-31,False
1300159,PORT00053,CLI02201,Aggressive Growth,Cash,4.48,0,10,2026-08-31,True
1300160,PORT00054,CLI03046,Aggressive Growth,Equity,83.3,65,95,2026-08-31,True
1300161,PORT00054,CLI03046,Aggressive Growth,Bond,4.13,0,25,2026-08-31,True
1300162,PORT00054,CLI03046,Aggressive Growth,Cash,0.0,0,10,2026-08-31,True
1300163,PORT00055,CLI00998,Aggressive Growth,Equity,89.95,65,95,2026-08-31,True
1300164,PORT00055,CLI00998,Aggressive Growth,Bond,16.49,0,25,2026-08-31,True
1300165,PORT00055,CLI00998,Aggressive Growth,Cash,1.8,0,10,2026-08-31,True
1300166,PORT00056,CLI00360,Aggressive Growth,Equity,80.78,65,95,2026-08-31,True
1300167,PORT00056,CLI00360,Aggressive Growth,Bond,21.45,0,25,2026-08-31,True
1300168,PORT00056,CLI00360,Aggressive Growth,Cash,0.0,0,10,2026-08-31,True
1300169,PORT00057,CLI00808,Aggressive Growth,Equity,81.08,65,95,2026-08-31,True
1300170,PORT00057,CLI00808,Aggressive Growth,Bond,9.3,0,25,2026-08-31,True
1300171,PORT00057,CLI00808,Aggressive Growth,Cash,8.94,0,10,2026-08-31,True
1300172,PORT00058,CLI00499,Aggressive Growth,Equity,61.51,65,95,2026-08-31,False
1300173,PORT00058,CLI00499,Aggressive Growth,Bond,12.26,0,25,2026-08-31,True
1300174,PORT00058,CLI00499,Aggressive Growth,Cash,2.84,0,10,2026-08-31,True
1300175,PORT00059,CLI01279,Conservative Income,Equity,25.85,0,30,2026-08-31,True
1300176,PORT00059,CLI01279,Conservative Income,Bond,59.58,50,90,2026-08-31,True
1300177,PORT00059,CLI01279,Conservative Income,Cash,14.24,0,20,2026-08-31,True
1300178,PORT00060,CLI03546,Conservative Income,Equity,15.41,0,30,2026-08-31,True
1300179,PORT00060,CLI03546,Conservative Income,Bond,79.22,50,90,2026-08-31,True
1300180,PORT00060,CLI03546,Conservative Income,Cash,16.08,0,20,2026-08-31,True
1300181,PORT00061,CLI03225,Aggressive Growth,Equity,75.86,65,95,2026-08-31,True
1300182,PORT00061,CLI03225,Aggressive Growth,Bond,10.13,0,25,2026-08-31,True
1300183,PORT00061,CLI03225,Aggressive Growth,Cash,7.31,0,10,2026-08-31,True
1300184,PORT00062,CLI00611,Balanced Growth,Equity,43.97,40,65,2026-08-31,True
1300185,PORT00062,CLI00611,Balanced Growth,Bond,28.13,25,50,2026-08-31,True
1300186,PORT00062,CLI00611,Balanced Growth,Cash,3.19,0,15,2026-08-31,True
1300187,PORT00063,CLI03890,Conservative Income,Equity,6.7,0,30,2026-08-31,True
1300188,PORT00063,CLI03890,Conservative Income,Bond,85.89,50,90,2026-08-31,True
1300189,PORT00063,CLI03890,Conservative Income,Cash,13.67,0,20,2026-08-31,True
1300190,PORT00064,CLI00478,Conservative Income,Equity,21.19,0,30,2026-08-31,True
1300191,PORT00064,CLI00478,Conservative Income,Bond,47.91,50,90,2026-08-31,False
1300192,PORT00064,CLI00478,Conservative Income,Cash,7.17,0,20,2026-08-31,True
1300193,PORT00065,CLI03149,Balanced Growth,Equity,60.54,40,65,2026-08-31,True
1300194,PORT00065,CLI03149,Balanced Growth,Bond,43.63,25,50,2026-08-31,True
1300195,PORT00065,CLI03149,Balanced Growth,Cash,9.27,0,15,2026-08-31,True
1300196,PORT00066,CLI00296,Balanced Growth,Equity,59.19,40,65,2026-08-31,True
1300197,PORT00066,CLI00296,Balanced Growth,Bond,39.92,25,50,2026-08-31,True
1300198,PORT00066,CLI00296,Balanced Growth,Cash,11.35,0,15,2026-08-31,True
1300199,PORT00067,CLI02203,Balanced Growth,Equity,46.5,40,65,2026-08-31,True
1300200,PORT00067,CLI02203,Balanced Growth,Bond,34.06,25,50,2026-08-31,True
1300201,PORT00067,CLI02203,Balanced Growth,Cash,2.23,0,15,2026-08-31,True
1300202,PORT00068,CLI01970,Aggressive Growth,Equity,68.62,65,95,2026-08-31,True
1300203,PORT00068,CLI01970,Aggressive Growth,Bond,11.94,0,25,2026-08-31,True
1300204,PORT00068,CLI01970,Aggressive Growth,Cash,5.49,0,10,2026-08-31,True
1300205,PORT00069,CLI03689,Conservative Income,Equity,26.16,0,30,2026-08-31,True
1300206,PORT00069,CLI03689,Conservative Income,Bond,83.9,50,90,2026-08-31,True
1300207,PORT00069,CLI03689,Conservative Income,Cash,0.0,0,20,2026-08-31,True
1300208,PORT00070,CLI00237,Aggressive Growth,Equity,69.84,65,95,2026-08-31,True
1300209,PORT00070,CLI00237,Aggressive Growth,Bond,16.33,0,25,2026-08-31,True
1300210,PORT00070,CLI00237,Aggressive Growth,Cash,4.07,0,10,2026-08-31,True
1300211,PORT00071,CLI01710,Aggressive Growth,Equity,75.15,65,95,2026-08-31,True
1300212,PORT00071,CLI01710,Aggressive Growth,Bond,12.05,0,25,2026-08-31,True
1300213,PORT00071,CLI01710,Aggressive Growth,Cash,7.86,0,10,2026-08-31,True
1300214,PORT00072,CLI02475,Balanced Growth,Equity,67.56,40,65,2026-08-31,False
1300215,PORT00072,CLI02475,Balanced Growth,Bond,36.66,25,50,2026-08-31,True
1300216,PORT00072,CLI02475,Balanced Growth,Cash,4.07,0,15,2026-08-31,True
1300217,PORT00073,CLI03393,Conservative Income,Equity,8.39,0,30,2026-08-31,True
1300218,PORT00073,CLI03393,Conservative Income,Bond,55.38,50,90,2026-08-31,True
1300219,PORT00073,CLI03393,Conservative Income,Cash,4.51,0,20,2026-08-31,True
1300220,PORT00074,CLI02692,Aggressive Growth,Equity,86.33,65,95,2026-08-31,True
1300221,PORT00074,CLI02692,Aggressive Growth,Bond,9.72,0,25,2026-08-31,True
1300222,PORT00074,CLI02692,Aggressive Growth,Cash,5.11,0,10,2026-08-31,True
1300223,PORT00075,CLI03751,Conservative Income,Equity,15.58,0,30,2026-08-31,True
1300224,PORT00075,CLI03751,Conservative Income,Bond,71.85,50,90,2026-08-31,True
1300225,PORT00075,CLI03751,Conservative Income,Cash,17.03,0,20,2026-08-31,True
1300226,PORT00076,CLI01791,Aggressive Growth,Equity,79.78,65,95,2026-08-31,True
1300227,PORT00076,CLI01791,Aggressive Growth,Bond,16.32,0,25,2026-08-31,True
1300228,PORT00076,CLI01791,Aggressive Growth,Cash,2.42,0,10,2026-08-31,True
1300229,PORT00077,CLI00234,Conservative Income,Equity,17.53,0,30,2026-08-31,True
1300230,PORT00077,CLI00234,Conservative Income,Bond,57.37,50,90,2026-08-31,True
1300231,PORT00077,CLI00234,Conservative Income,Cash,12.49,0,20,2026-08-31,True
1300232,PORT00078,CLI02897,Balanced Growth,Equity,54.33,40,65,2026-08-31,True
1300233,PORT00078,CLI02897,Balanced Growth,Bond,31.45,25,50,2026-08-31,True
1300234,PORT00078,CLI02897,Balanced Growth,Cash,7.28,0,15,2026-08-31,True
1300235,PORT00079,CLI00614,Balanced Growth,Equity,46.75,40,65,2026-08-31,True
1300236,PORT00079,CLI00614,Balanced Growth,Bond,34.72,25,50,2026-08-31,True
1300237,PORT00079,CLI00614,Balanced Growth,Cash,0.0,0,15,2026-08-31,True
1300238,PORT00080,CLI00718,Balanced Growth,Equity,47.03,40,65,2026-08-31,True
1300239,PORT00080,CLI00718,Balanced Growth,Bond,37.28,25,50,2026-08-31,True
1300240,PORT00080,CLI00718,Balanced Growth,Cash,2.62,0,15,2026-08-31,True
1300241,PORT00081,CLI02203,Balanced Growth,Equity,58.61,40,65,2026-08-31,True
1300242,PORT00081,CLI02203,Balanced Growth,Bond,43.9,25,50,2026-08-31,True
1300243,PORT00081,CLI02203,Balanced Growth,Cash,7.66,0,15,2026-08-31,True
1300244,PORT00082,CLI01179,Conservative Income,Equity,10.78,0,30,2026-08-31,True
1300245,PORT00082,CLI01179,Conservative Income,Bond,75.91,50,90,2026-08-31,True
1300246,PORT00082,CLI01179,Conservative Income,Cash,2.07,0,20,2026-08-31,True
1300247,PORT00083,CLI03058,Conservative Income,Equity,16.2,0,30,2026-08-31,True
1300248,PORT00083,CLI03058,Conservative Income,Bond,68.96,50,90,2026-08-31,True
1300249,PORT00083,CLI03058,Conservative Income,Cash,4.15,0,20,2026-08-31,True
1300250,PORT00084,CLI02035,Conservative Income,Equity,8.58,0,30,2026-08-31,True
1300251,PORT00084,CLI02035,Conservative Income,Bond,74.88,50,90,2026-08-31,True
1300252,PORT00084,CLI02035,Conservative Income,Cash,2.62,0,20,2026-08-31,True
1300253,PORT00085,CLI01563,Balanced Growth,Equity,46.74,40,65,2026-08-31,True
1300254,PORT00085,CLI01563,Balanced Growth,Bond,44.27,25,50,2026-08-31,True
1300255,PORT00085,CLI01563,Balanced Growth,Cash,10.75,0,15,2026-08-31,True
1300256,PORT00086,CLI00177,Fixed Income Core,Equity,5.63,0,10,2026-08-31,True
1300257,PORT00086,CLI00177,Fixed Income Core,Bond,92.75,80,100,2026-08-31,True
1300258,PORT00086,CLI00177,Fixed Income Core,Cash,3.41,0,10,2026-08-31,True
1300259,PORT00087,CLI03004,Conservative Income,Equity,11.2,0,30,2026-08-31,True
1300260,PORT00087,CLI03004,Conservative Income,Bond,72.49,50,90,2026-08-31,True
1300261,PORT00087,CLI03004,Conservative Income,Cash,11.72,0,20,2026-08-31,True
1300262,PORT00088,CLI03274,Fixed Income Core,Equity,6.66,0,10,2026-08-31,True
1300263,PORT00088,CLI03274,Fixed Income Core,Bond,83.59,80,100,2026-08-31,True
1300264,PORT00088,CLI03274,Fixed Income Core,Cash,0.0,0,10,2026-08-31,True
1300265,PORT00089,CLI01903,Conservative Income,Equity,7.74,0,30,2026-08-31,True
1300266,PORT00089,CLI01903,Conservative Income,Bond,97.57,50,90,2026-08-31,False
1300267,PORT00089,CLI01903,Conservative Income,Cash,13.31,0,20,2026-08-31,True
1300268,PORT00090,CLI03702,Balanced Growth,Equity,60.12,40,65,2026-08-31,True
1300269,PORT00090,CLI03702,Balanced Growth,Bond,31.16,25,50,2026-08-31,True
1300270,PORT00090,CLI03702,Balanced Growth,Cash,3.43,0,15,2026-08-31,True
1300271,PORT00091,CLI01399,Balanced Growth,Equity,53.07,40,65,2026-08-31,True
1300272,PORT00091,CLI01399,Balanced Growth,Bond,46.77,25,50,2026-08-31,True
1300273,PORT00091,CLI01399,Balanced Growth,Cash,12.69,0,15,2026-08-31,True
1300274,PORT00092,CLI01902,Conservative Income,Equity,22.87,0,30,2026-08-31,True
1300275,PORT00092,CLI01902,Conservative Income,Bond,60.03,50,90,2026-08-31,True
1300276,PORT00092,CLI01902,Conservative Income,Cash,16.5,0,20,2026-08-31,True
1300277,PORT00093,CLI02656,Balanced Growth,Equity,59.12,40,65,2026-08-31,True
1300278,PORT00093,CLI02656,Balanced Growth,Bond,19.51,25,50,2026-08-31,False
1300279,PORT00093,CLI02656,Balanced Growth,Cash,12.94,0,15,2026-08-31,True
1300280,PORT00094,CLI00892,Conservative Income,Equity,16.41,0,30,2026-08-31,True
1300281,PORT00094,CLI00892,Conservative Income,Bond,80.23,50,90,2026-08-31,True
1300282,PORT00094,CLI00892,Conservative Income,Cash,8.48,0,20,2026-08-31,True
1300283,PORT00095,CLI02638,Balanced Growth,Equity,58.19,40,65,2026-08-31,True
1300284,PORT00095,CLI02638,Balanced Growth,Bond,45.44,25,50,2026-08-31,True
1300285,PORT00095,CLI02638,Balanced Growth,Cash,2.8,0,15,2026-08-31,True
1300286,PORT00096,CLI03437,Balanced Growth,Equity,42.72,40,65,2026-08-31,True
1300287,PORT00096,CLI03437,Balanced Growth,Bond,46.4,25,50,2026-08-31,True
1300288,PORT00096,CLI03437,Balanced Growth,Cash,3.46,0,15,2026-08-31,True
1300289,PORT00097,CLI01920,Aggressive Growth,Equity,75.32,65,95,2026-08-31,True
1300290,PORT00097,CLI01920,Aggressive Growth,Bond,10.61,0,25,2026-08-31,True
1300291,PORT00097,CLI01920,Aggressive Growth,Cash,7.6,0,10,2026-08-31,True
1300292,PORT00098,CLI00136,Conservative Income,Equity,14.78,0,30,2026-08-31,True
1300293,PORT00098,CLI00136,Conservative Income,Bond,82.17,50,90,2026-08-31,True
1300294,PORT00098,CLI00136,Conservative Income,Cash,11.75,0,20,2026-08-31,True
1300295,PORT00099,CLI03252,Fixed Income Core,Equity,7.69,0,10,2026-08-31,True
1300296,PORT00099,CLI03252,Fixed Income Core,Bond,93.47,80,100,2026-08-31,True
1300297,PORT00099,CLI03252,Fixed Income Core,Cash,1.21,0,10,2026-08-31,True
1300298,PORT00100,CLI01988,Balanced Growth,Equity,54.75,40,65,2026-08-31,True
1300299,PORT00100,CLI01988,Balanced Growth,Bond,35.18,25,50,2026-08-31,True
1300300,PORT00100,CLI01988,Balanced Growth,Cash,7.87,0,15,2026-08-31,True
1300301,PORT00101,CLI03837,Balanced Growth,Equity,58.55,40,65,2026-08-31,True
1300302,PORT00101,CLI03837,Balanced Growth,Bond,34.38,25,50,2026-08-31,True
1300303,PORT00101,CLI03837,Balanced Growth,Cash,12.59,0,15,2026-08-31,True
1300304,PORT00102,CLI00218,Fixed Income Core,Equity,4.27,0,10,2026-08-31,True
1300305,PORT00102,CLI00218,Fixed Income Core,Bond,87.76,80,100,2026-08-31,True
1300306,PORT00102,CLI00218,Fixed Income Core,Cash,7.43,0,10,2026-08-31,True
