review_id,portfolio_id,review_due_date,review_completed_date,status
1500054,PORT00054,2026-06-07,2026-06-02,OnTime
1500055,PORT00055,2026-02-08,2026-02-06,OnTime
1500056,PORT00056,2025-12-16,2025-12-16,OnTime
1500057,PORT00057,2025-11-29,2025-11-25,OnTime
1500058,PORT00058,2026-07-12,2026-07-06,OnTime
1500059,PORT00059,2025-12-22,2025-12-14,OnTime
1500060,PORT00060,2025-09-03,2025-08-25,OnTime
1500061,PORT00061,2026-04-05,2026-04-01,OnTime
1500062,PORT00062,2026-03-06,2026-02-27,OnTime
1500063,PORT00063,2026-04-18,2026-04-13,OnTime
1500064,PORT00064,2025-12-08,2025-12-04,OnTime
1500065,PORT00065,2026-03-28,2026-05-03,Late
1500066,PORT00066,2025-12-10,2025-12-01,OnTime
1500067,PORT00067,2025-11-07,2025-11-05,OnTime
1500068,PORT00068,2026-07-28,2026-07-25,OnTime
1500069,PORT00069,2025-12-07,2025-12-03,OnTime
1500070,PORT00070,2026-08-14,2026-08-13,OnTime
1500071,PORT00071,2026-01-11,2026-01-05,OnTime
1500072,PORT00072,2025-09-14,2025-09-06,OnTime
1500073,PORT00073,2026-06-13,2026-06-12,OnTime
1500074,PORT00074,2025-12-06,2025-12-04,OnTime
1500075,PORT00075,2026-08-12,2026-08-05,OnTime
1500076,PORT00076,2026-02-24,2026-03-29,Late
1500077,PORT00077,2026-06-07,2026-05-30,OnTime
1500078,PORT00078,2026-08-17,2026-08-10,OnTime
1500079,PORT00079,2026-03-21,2026-03-19,OnTime
1500080,PORT00080,2026-08-19,2026-08-19,OnTime
1500081,PORT00081,2026-03-21,2026-04-23,Late
1500082,PORT00082,2025-11-29,2025-11-27,OnTime
1500083,PORT00083,2026-08-22,2026-08-17,OnTime
1500084,PORT00084,2026-03-11,2026-03-04,OnTime
1500085,PORT00085,2026-02-04,2026-01-27,OnTime
1500086,PORT00086,2026-01-04,2025-12-27,OnTime
1500087,PORT00087,2025-09-20,2025-09-19,OnTime
1500088,PORT00088,2026-02-16,2026-03-22,Late
1500089,PORT00089,2025-12-10,2025-12-06,OnTime
1500090,PORT00090,2026-03-27,2026-03-23,OnTime
1500091,PORT00091,2026-02-18,2026-02-18,OnTime
1500092,PORT00092,2026-04-28,2026-04-21,OnTime
1500093,PORT00093,2026-01-22,2026-01-17,OnTime
1500094,PORT00094,2025-11-18,2025-11-16,OnTime
1500095,PORT00095,2026-03-07,2026-03-04,OnTime
1500096,PORT00096,2025-12-20,2025-12-20,OnTime
1500097,PORT00097,2025-12-08,2025-12-08,OnTime
1500098,PORT00098,2026-07-02,2026-07-02,OnTime
1500099,PORT00099,2026-04-06,2026-04-06,OnTime
1500100,PORT00100,2026-07-06,2026-06-29,OnTime
1500101,PORT00101,2025-09-23,2025-09-16,OnTime
1500102,PORT00102,2026-06-23,2026-06-15,OnTime
1500103,PORT00103,2026-04-07,2026-04-06,OnTime
1500104,PORT00104,2026-07-15,2026-07-14,OnTime
1500105,PORT00105,2026-04-12,2026-04-11,OnTime
1500106,PORT00106,2026-06-23,2026-06-16,OnTime
1500107,PORT00107,2026-02-15,2026-02-10,OnTime
1500108,PORT00108,2025-09-27,2025-09-25,OnTime
1500109,PORT00109,2026-07-14,2026-07-10,OnTime
1500110,PORT00110,2025-09-03,2025-08-29,OnTime
1500111,PORT00111,2025-09-29,2025-09-29,OnTime
1500112,PORT00112,2026-04-20,2026-04-11,OnTime
1500113,PORT00113,2025-10-13,2025-10-06,OnTime
1500114,PORT00114,2026-01-29,2026-01-26,OnTime
1500115,PORT00115,2025-12-09,2025-12-05,OnTime
1500116,PORT00116,2026-07-19,2026-07-13,OnTime
1500117,PORT00117,2025-12-03,2025-11-30,OnTime
1500118,PORT00118,2026-03-25,2026-03-24,OnTime
1500119,PORT00119,2026-07-16,2026-07-13,OnTime
1500120,PORT00120,2025-10-26,2025-10-25,OnTime
1500121,PORT00121,2026-03-25,2026-03-17,OnTime
1500122,PORT00122,2025-12-24,2025-12-15,OnTime
1500123,PORT00123,2025-11-12,2025-11-08,OnTime
1500124,PORT00124,2026-05-08,2026-05-05,OnTime
1500125,PORT00125,2026-08-01,2026-07-31,OnTime
1500126,PORT00126,2026-07-17,2026-07-16,OnTime
1500127,PORT00127,2026-06-27,2026-06-23,OnTime
1500128,PORT00128,2026-07-23,2026-07-23,OnTime
1500129,PORT00129,2026-05-31,2026-05-28,OnTime
1500130,PORT00130,2026-03-27,2026-03-26,OnTime
1500131,PORT00131,2026-02-18,2026-02-13,OnTime
1500132,PORT00132,2026-04-30,2026-04-29,OnTime
1500133,PORT00133,2026-04-02,2026-03-28,OnTime
1500134,PORT00134,2025-11-25,2025-11-17,OnTime
1500135,PORT00135,2026-07-08,2026-07-06,OnTime
1500136,PORT00136,2025-12-29,2025-12-22,OnTime
1500137,PORT00137,2026-08-02,2026-07-30,OnTime
1500138,PORT00138,2025-11-26,2025-11-18,OnTime
1500139,PORT00139,2026-07-16,2026-07-16,OnTime
1500140,PORT00140,2026-02-26,2026-02-20,OnTime
1500141,PORT00141,2026-03-23,2026-03-21,OnTime
1500142,PORT00142,2026-05-08,2026-05-01,OnTime
1500143,PORT00143,2026-08-30,2026-08-24,OnTime
1500144,PORT00144,2026-07-03,2026-07-03,OnTime
1500145,PORT00145,2026-04-06,2026-04-01,OnTime
1500146,PORT00146,2026-01-21,2026-01-17,OnTime
1500147,PORT00147,2026-05-06,2026-05-05,OnTime
1500148,PORT00148,2026-01-12,2026-01-06,OnTime
1500149,PORT00149,2026-02-23,2026-02-16,OnTime
1500150,PORT00150,2026-04-16,2026-05-01,Late
