action_id,exception_id,control_id,owner,reason_code,detail,identified_date,target_closure_date,days_to_target,status_vs_sla,remediation_priority
REM-9000013,9000119,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 207 min after execution (limit 30 min),2026-05-13,2026-06-02,-95,Overdue,Medium
REM-9000014,9000121,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 111 min after execution (limit 30 min),2026-05-13,2026-06-02,-95,Overdue,Medium
REM-9000015,9000160,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 84 min after execution (limit 30 min),2026-06-04,2026-06-24,-73,Overdue,Medium
REM-9000016,9000186,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 141 min after execution (limit 30 min),2026-06-17,2026-07-07,-60,Overdue,Medium
REM-9000017,9000187,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 154 min after execution (limit 30 min),2026-06-17,2026-07-07,-60,Overdue,Medium
REM-9000018,9000188,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 54 min after execution (limit 30 min),2026-06-17,2026-07-07,-60,Overdue,Medium
REM-9000019,9000193,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 55 min after execution (limit 30 min),2026-06-17,2026-07-07,-60,Overdue,Medium
REM-9000020,9000197,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 122 min after execution (limit 30 min),2026-06-18,2026-07-08,-59,Overdue,Medium
REM-9000021,9000206,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 196 min after execution (limit 30 min),2026-06-19,2026-07-09,-58,Overdue,Medium
REM-9000022,9000210,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 53 min after execution (limit 30 min),2026-06-23,2026-07-13,-54,Overdue,Medium
REM-9000023,9000236,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 163 min after execution (limit 30 min),2026-06-29,2026-07-19,-48,Overdue,Medium
REM-9000024,9000254,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 157 min after execution (limit 30 min),2026-07-02,2026-07-22,-45,Overdue,Medium
REM-9000025,9000304,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 123 min after execution (limit 30 min),2026-07-17,2026-08-06,-30,Overdue,Medium
REM-9000026,9000309,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 105 min after execution (limit 30 min),2026-07-21,2026-08-10,-26,Overdue,Medium
REM-9000027,9000340,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 79 min after execution (limit 30 min),2026-07-29,2026-08-18,-18,Overdue,Medium
REM-9000028,9000345,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 215 min after execution (limit 30 min),2026-07-29,2026-08-18,-18,Overdue,Medium
REM-9000029,9000353,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 184 min after execution (limit 30 min),2026-07-30,2026-08-19,-17,Overdue,Medium
REM-9000030,9000367,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 239 min after execution (limit 30 min),2026-08-03,2026-08-23,-13,Overdue,Medium
REM-9000031,9000369,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 236 min after execution (limit 30 min),2026-08-03,2026-08-23,-13,Overdue,Medium
REM-9000032,9000381,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 105 min after execution (limit 30 min),2026-08-05,2026-08-25,-11,Overdue,Medium
REM-9000033,9000389,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 176 min after execution (limit 30 min),2026-08-06,2026-08-26,-10,Overdue,Medium
REM-9000034,9000393,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 130 min after execution (limit 30 min),2026-08-06,2026-08-26,-10,Overdue,Medium
REM-9000035,9000397,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 95 min after execution (limit 30 min),2026-08-06,2026-08-26,-10,Overdue,Medium
REM-9000036,9000403,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 217 min after execution (limit 30 min),2026-08-10,2026-08-30,-6,Overdue,Medium
REM-9000037,9000406,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 184 min after execution (limit 30 min),2026-08-10,2026-08-30,-6,Overdue,Medium
REM-9000038,9000407,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 54 min after execution (limit 30 min),2026-08-10,2026-08-30,-6,Overdue,Medium
REM-9000039,9000408,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 54 min after execution (limit 30 min),2026-08-10,2026-08-30,-6,Overdue,Medium
REM-9000040,9000413,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 197 min after execution (limit 30 min),2026-08-11,2026-08-31,-5,Overdue,Medium
REM-9000041,9000414,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 131 min after execution (limit 30 min),2026-08-11,2026-08-31,-5,Overdue,Medium
REM-9000042,9000415,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 94 min after execution (limit 30 min),2026-08-11,2026-08-31,-5,Overdue,Medium
REM-9000043,9000425,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 182 min after execution (limit 30 min),2026-08-12,2026-09-01,-4,Overdue,Medium
REM-9000044,9000428,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 108 min after execution (limit 30 min),2026-08-13,2026-09-02,-3,Overdue,Medium
REM-9000045,9000429,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 88 min after execution (limit 30 min),2026-08-13,2026-09-02,-3,Overdue,Medium
REM-9000046,9000430,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 159 min after execution (limit 30 min),2026-08-13,2026-09-02,-3,Overdue,Medium
REM-9000047,9000431,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 144 min after execution (limit 30 min),2026-08-14,2026-09-03,-2,Overdue,Medium
REM-9000048,9000432,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 79 min after execution (limit 30 min),2026-08-14,2026-09-03,-2,Overdue,Medium
REM-9000049,9000434,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 129 min after execution (limit 30 min),2026-08-14,2026-09-03,-2,Overdue,Medium
REM-9000050,9000436,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 171 min after execution (limit 30 min),2026-08-17,2026-09-06,1,On Track,Medium
REM-9000051,9000437,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 176 min after execution (limit 30 min),2026-08-17,2026-09-06,1,On Track,Medium
REM-9000052,9000439,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 147 min after execution (limit 30 min),2026-08-17,2026-09-06,1,On Track,Medium
REM-9000053,9000442,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 120 min after execution (limit 30 min),2026-08-17,2026-09-06,1,On Track,Medium
REM-9000054,9000443,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 85 min after execution (limit 30 min),2026-08-17,2026-09-06,1,On Track,Medium
REM-9000055,9000446,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 101 min after execution (limit 30 min),2026-08-17,2026-09-06,1,On Track,Medium
REM-9000056,9000447,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 92 min after execution (limit 30 min),2026-08-17,2026-09-06,1,On Track,Medium
REM-9000057,9000449,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 162 min after execution (limit 30 min),2026-08-17,2026-09-06,1,On Track,Medium
REM-9000058,9000450,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 183 min after execution (limit 30 min),2026-08-18,2026-09-07,2,On Track,Medium
REM-9000059,9000451,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 143 min after execution (limit 30 min),2026-08-18,2026-09-07,2,On Track,Medium
REM-9000060,9000452,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 46 min after execution (limit 30 min),2026-08-18,2026-09-07,2,On Track,Medium
REM-9000061,9000453,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 115 min after execution (limit 30 min),2026-08-18,2026-09-07,2,On Track,Medium
REM-9000062,9000454,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 81 min after execution (limit 30 min),2026-08-18,2026-09-07,2,On Track,Medium
REM-9000063,9000455,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 208 min after execution (limit 30 min),2026-08-18,2026-09-07,2,On Track,Medium
REM-9000064,9000456,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 68 min after execution (limit 30 min),2026-08-18,2026-09-07,2,On Track,Medium
REM-9000065,9000458,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 187 min after execution (limit 30 min),2026-08-19,2026-09-08,3,On Track,Medium
REM-9000066,9000459,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 197 min after execution (limit 30 min),2026-08-19,2026-09-08,3,On Track,Medium
REM-9000067,9000461,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 196 min after execution (limit 30 min),2026-08-19,2026-09-08,3,On Track,Medium
REM-9000068,9000462,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 138 min after execution (limit 30 min),2026-08-19,2026-09-08,3,On Track,Medium
REM-9000069,9000463,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 145 min after execution (limit 30 min),2026-08-20,2026-09-09,4,On Track,Medium
REM-9000070,9000465,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 190 min after execution (limit 30 min),2026-08-20,2026-09-09,4,On Track,Medium
REM-9000071,9000466,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 166 min after execution (limit 30 min),2026-08-20,2026-09-09,4,On Track,Medium
REM-9000072,9000468,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 129 min after execution (limit 30 min),2026-08-20,2026-09-09,4,On Track,Medium
REM-9000073,9000471,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 131 min after execution (limit 30 min),2026-08-21,2026-09-10,5,On Track,Medium
REM-9000074,9000473,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 139 min after execution (limit 30 min),2026-08-21,2026-09-10,5,On Track,Medium
REM-9000075,9000475,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 48 min after execution (limit 30 min),2026-08-21,2026-09-10,5,On Track,Medium
REM-9000076,9000476,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 108 min after execution (limit 30 min),2026-08-21,2026-09-10,5,On Track,Medium
REM-9000077,9000480,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 124 min after execution (limit 30 min),2026-08-24,2026-09-13,8,On Track,Medium
REM-9000078,9000482,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 173 min after execution (limit 30 min),2026-08-24,2026-09-13,8,On Track,Medium
REM-9000079,9000486,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 55 min after execution (limit 30 min),2026-08-24,2026-09-13,8,On Track,Medium
REM-9000080,9000488,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 135 min after execution (limit 30 min),2026-08-24,2026-09-13,8,On Track,Medium
REM-9000081,9000489,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 130 min after execution (limit 30 min),2026-08-25,2026-09-14,9,On Track,Medium
REM-9000082,9000492,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 77 min after execution (limit 30 min),2026-08-25,2026-09-14,9,On Track,Medium
REM-9000083,9000493,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 118 min after execution (limit 30 min),2026-08-25,2026-09-14,9,On Track,Medium
REM-9000084,9000494,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 224 min after execution (limit 30 min),2026-08-25,2026-09-14,9,On Track,Medium
REM-9000085,9000495,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 158 min after execution (limit 30 min),2026-08-25,2026-09-14,9,On Track,Medium
REM-9000086,9000496,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 157 min after execution (limit 30 min),2026-08-25,2026-09-14,9,On Track,Medium
REM-9000087,9000497,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 138 min after execution (limit 30 min),2026-08-26,2026-09-15,10,On Track,Medium
REM-9000088,9000498,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 174 min after execution (limit 30 min),2026-08-26,2026-09-15,10,On Track,Medium
REM-9000089,9000499,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 61 min after execution (limit 30 min),2026-08-26,2026-09-15,10,On Track,Medium
REM-9000090,9000500,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 116 min after execution (limit 30 min),2026-08-26,2026-09-15,10,On Track,Medium
REM-9000091,9000501,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 187 min after execution (limit 30 min),2026-08-26,2026-09-15,10,On Track,Medium
REM-9000092,9000502,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 161 min after execution (limit 30 min),2026-08-26,2026-09-15,10,On Track,Medium
REM-9000093,9000503,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 175 min after execution (limit 30 min),2026-08-27,2026-09-16,11,On Track,Medium
REM-9000094,9000504,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 161 min after execution (limit 30 min),2026-08-27,2026-09-16,11,On Track,Medium
REM-9000095,9000505,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 50 min after execution (limit 30 min),2026-08-27,2026-09-16,11,On Track,Medium
REM-9000096,9000507,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 100 min after execution (limit 30 min),2026-08-27,2026-09-16,11,On Track,Medium
REM-9000097,9000508,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 87 min after execution (limit 30 min),2026-08-27,2026-09-16,11,On Track,Medium
REM-9000098,9000509,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 211 min after execution (limit 30 min),2026-08-27,2026-09-16,11,On Track,Medium
REM-9000099,9000510,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 106 min after execution (limit 30 min),2026-08-28,2026-09-17,12,On Track,Medium
REM-9000100,9000511,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 120 min after execution (limit 30 min),2026-08-28,2026-09-17,12,On Track,Medium
REM-9000101,9000512,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 157 min after execution (limit 30 min),2026-08-28,2026-09-17,12,On Track,Medium
REM-9000102,9000513,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 99 min after execution (limit 30 min),2026-08-28,2026-09-17,12,On Track,Medium
REM-9000103,9000514,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 223 min after execution (limit 30 min),2026-08-28,2026-09-17,12,On Track,Medium
REM-9000104,9000515,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 144 min after execution (limit 30 min),2026-08-28,2026-09-17,12,On Track,Medium
REM-9000105,9000516,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 147 min after execution (limit 30 min),2026-08-28,2026-09-17,12,On Track,Medium
REM-9000106,9000517,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 214 min after execution (limit 30 min),2026-08-28,2026-09-17,12,On Track,Medium
REM-9000107,9000518,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 150 min after execution (limit 30 min),2026-08-31,2026-09-20,15,On Track,Medium
REM-9000108,9000521,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 184 min after execution (limit 30 min),2026-08-31,2026-09-20,15,On Track,Medium
REM-9000109,9000522,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 90 min after execution (limit 30 min),2026-08-31,2026-09-20,15,On Track,Medium
REM-9000110,9000523,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 189 min after execution (limit 30 min),2026-08-31,2026-09-20,15,On Track,Medium
REM-9000111,9000558,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated 50.0 bps from benchmark (limit 15bps),2025-10-14,2025-10-29,-311,Overdue,Medium
REM-9000112,9000562,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated -34.5 bps from benchmark (limit 15bps),2025-10-14,2025-10-29,-311,Overdue,Medium
REM-9000113,9000563,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated 66.9 bps from benchmark (limit 15bps),2025-10-15,2025-10-30,-310,Overdue,Medium
REM-9000114,9000564,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated -45.5 bps from benchmark (limit 15bps),2025-10-16,2025-10-31,-309,Overdue,Medium
REM-9000115,9000576,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated 24.1 bps from benchmark (limit 15bps),2025-10-31,2025-11-15,-294,Overdue,Medium
REM-9000116,9000578,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated -75.5 bps from benchmark (limit 15bps),2025-11-04,2025-11-19,-290,Overdue,Medium
REM-9000117,9000585,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated -69.8 bps from benchmark (limit 15bps),2025-11-18,2025-12-03,-276,Overdue,Medium
REM-9000118,9000597,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated -90.6 bps from benchmark (limit 15bps),2025-12-09,2025-12-24,-255,Overdue,Medium
REM-9000119,9000615,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated -32.3 bps from benchmark (limit 15bps),2026-01-16,2026-01-31,-217,Overdue,Medium
REM-9000120,9000630,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated 56.3 bps from benchmark (limit 15bps),2026-02-20,2026-03-07,-182,Overdue,Medium
REM-9000121,9000631,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated -76.7 bps from benchmark (limit 15bps),2026-02-23,2026-03-10,-179,Overdue,Medium
REM-9000122,9000649,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated -35.7 bps from benchmark (limit 15bps),2026-04-02,2026-04-17,-141,Overdue,Medium
REM-9000123,9000650,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated -84.0 bps from benchmark (limit 15bps),2026-04-06,2026-04-21,-137,Overdue,Medium
REM-9000124,9000679,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated 25.7 bps from benchmark (limit 15bps),2026-05-27,2026-06-11,-86,Overdue,Medium
REM-9000125,9000681,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated 53.8 bps from benchmark (limit 15bps),2026-05-29,2026-06-13,-84,Overdue,Medium
REM-9000126,9000686,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated 62.6 bps from benchmark (limit 15bps),2026-06-09,2026-06-24,-73,Overdue,Medium
REM-9000127,9000688,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated 72.8 bps from benchmark (limit 15bps),2026-06-12,2026-06-27,-70,Overdue,Medium
REM-9000128,9000692,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated 32.2 bps from benchmark (limit 15bps),2026-06-18,2026-07-03,-64,Overdue,Medium
REM-9000129,9000729,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated -90.5 bps from benchmark (limit 15bps),2026-08-18,2026-09-02,-3,Overdue,Medium
REM-9000130,9000731,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated -80.0 bps from benchmark (limit 15bps),2026-08-19,2026-09-03,-2,Overdue,Medium
REM-9000131,9000732,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated -23.3 bps from benchmark (limit 15bps),2026-08-20,2026-09-04,-1,Overdue,Medium
REM-9000132,9000733,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated -25.5 bps from benchmark (limit 15bps),2026-08-21,2026-09-05,0,On Track,Medium
REM-9000133,9000734,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated 41.0 bps from benchmark (limit 15bps),2026-08-26,2026-09-10,5,On Track,Medium
REM-9000134,9000736,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated 40.0 bps from benchmark (limit 15bps),2026-08-28,2026-09-12,7,On Track,Medium
REM-9000135,9000737,TC-02,"J. Farrow, Trading Ops",PRICE_OUTLIER,Execution price deviated 29.7 bps from benchmark (limit 15bps),2026-08-31,2026-09-15,10,On Track,Medium
REM-9000136,9000747,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 2.39 pts from pro-rata entitlement (limit 2pts),2025-09-04,2025-09-24,-346,Overdue,Medium
REM-9000137,9000748,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 3.88 pts from pro-rata entitlement (limit 2pts),2025-09-05,2025-09-25,-345,Overdue,Medium
REM-9000138,9000757,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 7.0 pts from pro-rata entitlement (limit 2pts),2025-09-08,2025-09-28,-342,Overdue,Medium
REM-9000139,9000764,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 13.21 pts from pro-rata entitlement (limit 2pts),2025-09-12,2025-10-02,-338,Overdue,Medium
REM-9000140,9000780,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 24.69 pts from pro-rata entitlement (limit 2pts),2025-09-17,2025-10-07,-333,Overdue,Medium
REM-9000141,9000791,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 3.64 pts from pro-rata entitlement (limit 2pts),2025-09-22,2025-10-12,-328,Overdue,Medium
REM-9000142,9000792,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 6.3 pts from pro-rata entitlement (limit 2pts),2025-09-22,2025-10-12,-328,Overdue,Medium
REM-9000143,9000799,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 6.44 pts from pro-rata entitlement (limit 2pts),2025-09-26,2025-10-16,-324,Overdue,Medium
REM-9000144,9000815,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 7.48 pts from pro-rata entitlement (limit 2pts),2025-10-03,2025-10-23,-317,Overdue,Medium
REM-9000145,9000841,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 3.31 pts from pro-rata entitlement (limit 2pts),2025-10-17,2025-11-06,-303,Overdue,Medium
REM-9000146,9000855,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 5.17 pts from pro-rata entitlement (limit 2pts),2025-10-21,2025-11-10,-299,Overdue,Medium
REM-9000147,9000860,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 3.49 pts from pro-rata entitlement (limit 2pts),2025-10-22,2025-11-11,-298,Overdue,Medium
REM-9000148,9000866,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 8.34 pts from pro-rata entitlement (limit 2pts),2025-10-23,2025-11-12,-297,Overdue,Medium
REM-9000149,9000867,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 35.68 pts from pro-rata entitlement (limit 2pts),2025-10-23,2025-11-12,-297,Overdue,Medium
REM-9000150,9000873,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 10.31 pts from pro-rata entitlement (limit 2pts),2025-10-28,2025-11-17,-292,Overdue,Medium
REM-9000151,9000878,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 4.49 pts from pro-rata entitlement (limit 2pts),2025-10-28,2025-11-17,-292,Overdue,Medium
REM-9000152,9000885,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 4.76 pts from pro-rata entitlement (limit 2pts),2025-11-05,2025-11-25,-284,Overdue,Medium
REM-9000153,9000887,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 7.83 pts from pro-rata entitlement (limit 2pts),2025-11-05,2025-11-25,-284,Overdue,Medium
REM-9000154,9000898,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 75.15 pts from pro-rata entitlement (limit 2pts),2025-11-11,2025-12-01,-278,Overdue,Medium
REM-9000155,9000907,TC-03,"J. Farrow, Trading Ops",ALLOC_UNFAIR,Allocation deviated 2.74 pts from pro-rata entitlement (limit 2pts),2025-11-17,2025-12-07,-272,Overdue,Medium
